Species,Climate,Plot,Mesocosm,Moisture,GWC,SLA,LDMC
Festuca,Future,A,2,700,7.025081906,52.857,166.6666667
Festuca,Future,A,4,1600,11.53846154,49,120.4819277
Festuca,Future,A,6,0,8.468854123,21.913,237.1134021
Festuca,Future,A,7,400,7.855652387,28.571,500
Festuca,Future,A,9,1300,11.77822905,31.429,212.1212121
Festuca,Future,A,11,1000,8.066911251,45.714,189.1891892
Festuca,Current,B,13,700,9.796478304,15.775,315.5555556
Festuca,Current,B,15,1600,14.84019674,19.582,280.334728
Festuca,Current,B,17,0,8.008504607,19.938,333.3333333
Festuca,Current,B,20,400,7.119490739,25.143,368.4210526
Festuca,Current,B,22,1300,22.93982783,31.231,252.4271845
Festuca,Current,B,24,1000,22.8444974,26.833,235.2941176
Festuca,Future,C,25,900,12.05030961,62,208.3333333
Festuca,Future,C,27,1200,16.1399646,25.2,303.030303
Festuca,Future,C,29,1500,20.00490316,29.55,227.2727273
Festuca,Future,C,32,0,6.075412762,28.625,260.8695652
Festuca,Future,C,34,300,9.730542183,23.103,223.0769231
Festuca,Future,C,36,600,11.20004467,16.8,261.4379085
Festuca,Current,D,38,900,8.64749066,25.45,259.7402597
Festuca,Current,D,40,1200,16.4291337,24.81,247.0588235
Festuca,Current,D,42,1500,14.2653867,21.748,226.8722467
Festuca,Current,D,43,0,9.670848949,12.843,310.0303951
Festuca,Current,D,45,300,7.840698598,16.899,346.7336683
Festuca,Current,D,47,600,9.611113439,21.357,300
Lolium,Future,A,1,700,7.849728307,26.503,197.9381443
Lolium,Future,A,3,1600,9.530503233,30.356,220.5206738
Lolium,Future,A,5,0,7.074982364,29.394,232.8767123
Lolium,Future,A,8,400,7.1942959,28.04,179.9544419
Lolium,Future,A,10,1300,10.04681671,34.616,150.9433962
Lolium,Future,A,12,1000,8.557844691,22.358,257.5406032
Lolium,Current,B,14,700,8.956181566,18.244,221.9286658
Lolium,Current,B,16,1600,11.26601723,27.555,204.6979866
Lolium,Current,B,18,0,10.63711655,15.34,235.1664255
Lolium,Current,B,19,400,8.414476414,26.286,193.9736347
Lolium,Current,B,21,1300,11.25777605,26.519,181.4345992
Lolium,Current,B,23,1000,9.438405416,24.321,207.2617247
Lolium,Future,C,26,900,9.317005933,13.043,145.5696203
Lolium,Future,C,28,1200,11.69067475,22.43,211.2299465
Lolium,Future,C,30,1500,11.4048657,12.542,341.6370107
Lolium,Future,C,31,0,7.638292309,25.182,191.461837
Lolium,Future,C,33,300,8.430723502,22.188,211.4485981
Lolium,Future,C,35,600,10.05391196,29.854,203.4739454
Lolium,Current,D,37,900,8.583899127,24.164,209.9236641
Lolium,Current,D,39,1200,8.280185534,23.452,169.3989071
Lolium,Current,D,41,1500,11.75979304,28.524,188.5057471
Lolium,Current,D,44,0,7.174925175,21.698,250.4201681
Lolium,Current,D,46,300,20.60101642,27.19,191.1262799
Lolium,Current,D,48,600,11.55219601,15.209,252.446184
Festuca,Future,A,2,700,7.025081906,50.667,125
Festuca,Future,A,4,1600,11.53846154,17.5,203.3898305
Festuca,Future,A,6,0,8.468854123,17.667,303.030303
Festuca,Future,A,7,400,7.855652387,17.5,406.779661
Festuca,Future,A,9,1300,11.77822905,28.667,236.8421053
Festuca,Future,A,11,1000,8.066911251,45.714,280
Festuca,Current,B,13,700,9.796478304,32.9,175.4385965
Festuca,Current,B,15,1600,14.84019674,17.907,325.7575758
Festuca,Current,B,17,0,8.008504607,21.143,358.974359
Festuca,Current,B,20,400,7.119490739,31.2,232.5581395
Festuca,Current,B,22,1300,22.93982783,32.667,192.3076923
Festuca,Current,B,24,1000,22.8444974,54.286,184.2105263
Festuca,Future,C,25,900,12.05030961,32.4,294.1176471
Festuca,Future,C,27,1200,16.1399646,49.636,275
