,A02D1R,A02D2R,A04D1R,A04D2R,A06D1R,A06D2R,A07D1R,A07D2R,A09D1R,A09D2R,A11D1R,A11D2R,B13D1R,B13D2R,B15D1R,B15D2R,B17D1R,B17D2R,B20D1R,B20D2R,B22D1R,B22D2R,B24D1R,B24D2R,C25D1R,C25D2R,C27D1R,C27D2R,C29D1R,C29D2R,C32D1R,C32D2R,C34D1R,C34D2R,C36D1R,C36D2R,D38D1R,D38D2R,D40D1R,D40D2R,D42D1R,D42D2R,D43D1R,D43D2R,D45D1R,D45D2R,D47D1R,D47D2R,A01W1R,A01W2R,A03W1R,A03W2R,A05W1R,A05W2R,A08W1R,A08W2R,A10W1R,A10W2R,A12W1R,A12W2R,B14W1R,B14W2R,B16W1R,B16W2R,B18W1R,B18W2R,B19W1R,B19W2R,B21W1R,B21W2R,B23W1R,B23W2R,C26W1R,C26W2R,C28W1R,C28W2R,C30W1R,C30W2R,C31W1R,C31W2R,C33W1R,C33W2R,C35W1R,C35W2R,D37W1R,D37W2R,D39W1R,D39W2R,D41W1R,D41W2R,D44W1R,D44W2R,D46W1R,D46W2R,D48W1R,D48W2R
e16495a0fa1aed880e2c585030efae72,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,27,15,0,0,0,23,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0
0c1d11638a4925cc1df528447b1b1aa2,13,22,39,23,0,0,33,10,0,0,10,0,0,0,0,0,0,0,0,45,0,11,17,0,13,0,16,0,0,15,0,0,0,0,0,0,0,16,0,15,17,45,0,0,0,8,0,0,0,36,0,63,0,0,29,0,0,0,0,49,0,0,37,0,0,0,8,17,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,27,0,0,0,0,0,0,0,0
cb38ca4af0b5a8fc7d1a661281edd5e5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9784d3af78bc916a7a892a1ede2e37a0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cba25e5f13a62e8a1fbdcdf62a0c4584,0,0,0,0,19,0,25,0,0,12,0,0,10,0,0,0,0,0,16,0,0,0,0,0,18,26,0,10,0,0,35,13,0,0,25,0,26,0,15,0,0,18,0,0,0,13,0,0,0,13,0,18,0,0,0,8,0,0,0,0,0,0,8,0,14,20,0,0,0,56,0,0,15,0,0,0,0,0,10,0,36,0,0,0,0,0,0,0,0,13,8,0,0,0,0,23
45a1033bc181a3d144aab8d4fa827c80,40,80,146,62,0,0,173,49,52,64,46,167,46,0,69,0,75,64,35,51,23,421,31,34,0,289,104,287,35,0,212,13,99,76,131,91,0,0,0,0,29,124,0,59,18,24,0,0,68,0,24,40,0,0,40,25,74,131,18,82,0,0,211,30,0,0,91,35,28,39,0,119,54,27,0,419,295,66,0,0,0,0,0,0,88,0,92,23,20,37,0,0,0,263,78,11
9da25cf74c60c6d8e68e05e334ee3d61,0,0,18,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
558e2930c7039e58654183adce3051d5,0,9,0,0,40,61,58,0,14,13,0,0,16,0,10,0,12,13,24,6,10,30,0,0,55,33,9,14,6,0,31,17,27,71,40,16,26,6,13,12,7,24,0,0,9,24,14,0,0,9,0,15,9,19,7,19,10,0,19,13,11,9,34,17,86,15,33,19,0,18,10,0,7,0,0,0,0,6,0,0,37,0,0,0,0,54,29,0,16,0,0,0,0,17,0,0
fec92c879a6af33f8b0c7eb2d949b24b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42378ce4ae85b738bc3ddac2c099ea2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
174cfa741d260d1eb14a688f8067cab4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a94aa346e6403f8b8ed5ca0ff09b58a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d0367b9732a489efa09e27d9e6cd1c6,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce8dbd4c910b5e76013ac61dba2e9efe,0,0,18,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,14,57,0,17,24,0,0,0,0,28,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,17,0,35,0,0,15,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,0,28,0,28,0,0,0,0,0,0
b722e510d99361e07c83d4504977fa69,33,0,0,0,0,56,58,0,69,0,0,0,0,0,0,19,0,0,43,44,0,0,0,0,56,0,0,0,0,0,28,51,100,0,0,102,46,0,57,0,0,0,0,0,0,0,50,0,0,0,0,0,0,34,0,0,0,27,0,0,25,0,0,21,0,53,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,120,0,0
a54cc2d856fa0a2d04b4db9b4f7a3351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,44,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
5f905f562acbd5d7d3d332e60b56df3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05a054705ab6ac8c9699243456b58e86,9,0,0,0,0,0,28,0,0,13,0,0,20,0,0,0,0,0,30,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,47,19,32,0,0,0,0,0,0,34,0,0,20,0,0,0,0,0,32,12,0,0,0,13,0,17,0,0,0,0,0,0,0,0,0,0,23,0,0,21,0,0,0,0,0,15,0,27,0,0,20,0,52,0,0,0,0,0,0,0
