,A02D1L,A02D2L,A04D1L,A04D2L,A06D1L,A06D2L,A07D1L,A07D2L,A09D1L,A09D2L,A11D1L,A11D2L,B13D1L,B13D2L,B15D1L,B15D2L,B17D2L,B20D1L,B20D2L,B22D1L,B22D2L,B24D1L,B24D2L,C25D1L,C25D2L,C27D1L,C27D2L,C29D1L,C29D2L,C32D1L,C32D2L,C34D1L,C34D2L,C36D1L,C36D2L,D38D1L,D38D2L,D40D1L,D40D2L,D42D1L,D42D2L,D43D1L,D43D2L,D45D1L,D45D2L,D47D1L,D47D2L,A01W1L,A01W2L,A03W1L,A03W2L,A05W1L,A05W2L,A08W1L,A08W2L,A10W1L,A10W2L,A12W1L,A12W2L,B14W1L,B14W2L,B16W1L,B16W2L,B18W1L,B18W2L,B19W1L,B19W2L,B21W1L,B21W2L,B23W1L,B23W2L,C26W1L,C26W2L,C28W1L,C28W2L,C30W1L,C30W2L,C31W1L,C31W2L,C33W1L,C33W2L,C35W1L,C35W2L,D37W1L,D37W2L,D39W1L,D39W2L,D41W1L,D41W2L,D44W1L,D44W2L,D46W1L,D46W2L,D48W1L,D48W2L
358b61b74b6df35f7fc13cd617d3fc86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8e63ade9a9dad5c070480645ab2c2d19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09dea212e813c5868a993e83eacf2b10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8ba38ef8f2df7d18fb21f015943b507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d8ade573262f4cb2ba5dec982510fd9f,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,23,18,0,0,13,25,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e7c6ffb27cf293b5a77b8626188f481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,347,1198,0,0,1948,660,1149,1343,335,929,940,1803,1797,0,1324,434,742,102,192,652,158,0,678,0,338,1553,0,1668,1587,1579,266,913,518,0,270,136,0,185,1116,1096,606,287,0,775,1432,491
5aa57ca5751f1c50f016343453a17217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,0,0,0,4,0
6bfa927544a9bd5c81cc07ce50e27276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0,0,0,0,0,0,13,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cea92ecd732280b97df55285f443bfc8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9197a73374ad786ceb13c7ce1244645c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
