,A02D1S,A02D2S,A04D1S,A04D2S,A06D1S,A06D2S,A07D1S,A07D2S,A09D1S,A09D2S,A11D1S,A11D2S,B13D1S,B13D2S,B15D1S,B15D2S,B17D1S,B17D2S,B20D1S,B20D2S,B22D1S,B22D2S,B24D1S,B24D2S,C25D1S,C25D2S,C27D1S,C27D2S,C29D1S,C29D2S,C32D1S,C32D2S,C34D1S,C34D2S,C36D1S,C36D2S,D38D1S,D38D2S,D40D1S,D40D2S,D42D1S,D42D2S,D43D1S,D43D2S,D45D1S,D45D2S,D47D1S,D47D2S,A01W1S,A01W2S,A03W1S,A03W2S,A05W1S,A05W2S,A08W1S,A08W2S,A10W1S,A10W2S,A12W1S,A12W2S,B14W1S,B14W2S,B16W1S,B16W2S,B18W1S,B18W2S,B19W1S,B19W2S,B21W1S,B21W2S,B23W1S,B23W2S,C26W1S,C26W2S,C28W1S,C28W2S,C30W1S,C30W2S,C31W1S,C31W2S,C33W1S,C33W2S,C35W1S,C35W2S,D37W1S,D37W2S,D39W1S,D39W2S,D41W1S,D41W2S,D44W1S,D44W2S,D46W1S,D46W2S,D48W1S,D48W2S
144369169c517adfa8985e27d28ed5b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a871791fbeb0a2117a1fc070d4ba0633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f42a5f7b485ef4e30436a896f96f4c1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,7,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,151,0,0,0,8,0,0,8,0,0,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
fb231a98311ffad17f8cec3cd45fa5d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670f98f8a6bac5dde7d1ce1e3e7c246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2192772bdeb45b26bcc5fde85e99936a,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e54178dadb23ac69e4195e4f8f58cda,47,0,30,161,19,68,16,56,50,29,39,15,64,256,48,91,70,21,39,0,27,19,22,48,0,29,21,24,11,201,40,0,45,24,18,9,87,151,148,0,54,34,584,34,227,38,213,172,44,0,97,32,38,0,64,19,16,75,28,0,0,42,62,460,0,0,7,40,0,15,0,289,230,9,48,18,31,62,0,0,0,25,32,0,0,18,25,0,22,18,43,0,100,0,10,17
4904a0faa75ba31a96d394123c994458,0,0,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,21,20,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,41,0,0,0,0,0
57e03aca90cf97f7192b0d83233b2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfd2eb21f7dceb2164c1566eb68f8f3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
