Sample-id,Plot,Mesocosm,Species,Replicate,Compartment,Moisture,GWC,Climate,Microbita
A02D1L,A,2,Festuca,1,Leaf,700,7.0250819,Future,Bacteria
A02D2L,A,2,Festuca,2,Leaf,700,7.0250819,Future,Bacteria
A04D1L,A,4,Festuca,1,Leaf,1600,11.5384615,Future,Bacteria
A04D2L,A,4,Festuca,2,Leaf,1600,11.5384615,Future,Bacteria
A06D1L,A,6,Festuca,1,Leaf,0,8.4688541,Future,Bacteria
A06D2L,A,6,Festuca,2,Leaf,0,8.4688541,Future,Bacteria
A07D1L,A,7,Festuca,1,Leaf,400,7.8556524,Future,Bacteria
A07D2L,A,7,Festuca,2,Leaf,400,7.8556524,Future,Bacteria
A09D1L,A,9,Festuca,1,Leaf,1300,11.7782291,Future,Bacteria
A09D2L,A,9,Festuca,2,Leaf,1300,11.7782291,Future,Bacteria
A11D1L,A,11,Festuca,1,Leaf,1000,8.0669113,Future,Bacteria
A11D2L,A,11,Festuca,2,Leaf,1000,8.0669113,Future,Bacteria
B13D1L,B,13,Festuca,1,Leaf,700,9.7964783,Current,Bacteria
B13D2L,B,13,Festuca,2,Leaf,700,9.7964783,Current,Bacteria
B15D1L,B,15,Festuca,1,Leaf,1600,14.8401967,Current,Bacteria
B15D2L,B,15,Festuca,2,Leaf,1600,14.8401967,Current,Bacteria
B17D1L,B,17,Festuca,1,Leaf,0,8.0085046,Current,Bacteria
B17D2L,B,17,Festuca,2,Leaf,0,8.0085046,Current,Bacteria
B20D1L,B,20,Festuca,1,Leaf,400,7.1194907,Current,Bacteria
B20D2L,B,20,Festuca,2,Leaf,400,7.1194907,Current,Bacteria
B22D1L,B,22,Festuca,1,Leaf,1300,22.9398278,Current,Bacteria
B22D2L,B,22,Festuca,2,Leaf,1300,22.9398278,Current,Bacteria
B24D1L,B,24,Festuca,1,Leaf,1000,22.8444974,Current,Bacteria
B24D2L,B,24,Festuca,2,Leaf,1000,22.8444974,Current,Bacteria
C25D1L,C,25,Festuca,1,Leaf,900,12.0503096,Future,Bacteria
C25D2L,C,25,Festuca,2,Leaf,900,12.0503096,Future,Bacteria
C27D1L,C,27,Festuca,1,Leaf,1200,16.1399646,Future,Bacteria
C27D2L,C,27,Festuca,2,Leaf,1200,16.1399646,Future,Bacteria
C29D1L,C,29,Festuca,1,Leaf,1500,20.0049032,Future,Bacteria
C29D2L,C,29,Festuca,2,Leaf,1500,20.0049032,Future,Bacteria
C32D1L,C,32,Festuca,1,Leaf,0,6.0754128,Future,Bacteria
C32D2L,C,32,Festuca,2,Leaf,0,6.0754128,Future,Bacteria
C34D1L,C,34,Festuca,1,Leaf,300,9.7305422,Future,Bacteria
C34D2L,C,34,Festuca,2,Leaf,300,9.7305422,Future,Bacteria
C36D1L,C,36,Festuca,1,Leaf,600,11.2000447,Future,Bacteria
C36D2L,C,36,Festuca,2,Leaf,600,11.2000447,Future,Bacteria
D38D1L,D,38,Festuca,1,Leaf,900,8.6474907,Current,Bacteria
D38D2L,D,38,Festuca,2,Leaf,900,8.6474907,Current,Bacteria
D40D1L,D,40,Festuca,1,Leaf,1200,16.4291337,Current,Bacteria
D40D2L,D,40,Festuca,2,Leaf,1200,16.4291337,Current,Bacteria
D42D1L,D,42,Festuca,1,Leaf,1500,14.2653867,Current,Bacteria
D42D2L,D,42,Festuca,2,Leaf,1500,14.2653867,Current,Bacteria
D43D1L,D,43,Festuca,1,Leaf,0,9.6708489,Current,Bacteria
D43D2L,D,43,Festuca,2,Leaf,0,9.6708489,Current,Bacteria
D45D1L,D,45,Festuca,1,Leaf,300,7.8406986,Current,Bacteria
D45D2L,D,45,Festuca,2,Leaf,300,7.8406986,Current,Bacteria
D47D1L,D,47,Festuca,1,Leaf,600,9.6111134,Current,Bacteria
D47D2L,D,47,Festuca,2,Leaf,600,9.6111134,Current,Bacteria
A01W1L,A,1,Lolium,1,Leaf,700,7.8497283,Future,Bacteria
A01W2L,A,1,Lolium,2,Leaf,700,7.8497283,Future,Bacteria
A03W1L,A,3,Lolium,1,Leaf,1600,9.5305032,Future,Bacteria
A03W2L,A,3,Lolium,2,Leaf,1600,9.5305032,Future,Bacteria
A05W1L,A,5,Lolium,1,Leaf,0,7.0749824,Future,Bacteria
A05W2L,A,5,Lolium,2,Leaf,0,7.0749824,Future,Bacteria
