Sample-id,Plot,Mesocosm,Species,Replicate,Compartment,Moisture,GWC,Climate,Microbita
A02D1S,A,2,Festuca,1,Soil,700,7.0250819,Future,Bacteria
A02D2S,A,2,Festuca,2,Soil,700,7.0250819,Future,Bacteria
A04D1S,A,4,Festuca,1,Soil,1600,11.5384615,Future,Bacteria
A04D2S,A,4,Festuca,2,Soil,1600,11.5384615,Future,Bacteria
A06D1S,A,6,Festuca,1,Soil,0,8.4688541,Future,Bacteria
A06D2S,A,6,Festuca,2,Soil,0,8.4688541,Future,Bacteria
A07D1S,A,7,Festuca,1,Soil,400,7.8556524,Future,Bacteria
A07D2S,A,7,Festuca,2,Soil,400,7.8556524,Future,Bacteria
A09D1S,A,9,Festuca,1,Soil,1300,11.7782291,Future,Bacteria
A09D2S,A,9,Festuca,2,Soil,1300,11.7782291,Future,Bacteria
A11D1S,A,11,Festuca,1,Soil,1000,8.0669113,Future,Bacteria
A11D2S,A,11,Festuca,2,Soil,1000,8.0669113,Future,Bacteria
B13D1S,B,13,Festuca,1,Soil,700,9.7964783,Current,Bacteria
B13D2S,B,13,Festuca,2,Soil,700,9.7964783,Current,Bacteria
B15D1S,B,15,Festuca,1,Soil,1600,14.8401967,Current,Bacteria
B15D2S,B,15,Festuca,2,Soil,1600,14.8401967,Current,Bacteria
B17D1S,B,17,Festuca,1,Soil,0,8.0085046,Current,Bacteria
B17D2S,B,17,Festuca,2,Soil,0,8.0085046,Current,Bacteria
B20D1S,B,20,Festuca,1,Soil,400,7.1194907,Current,Bacteria
B20D2S,B,20,Festuca,2,Soil,400,7.1194907,Current,Bacteria
B22D1S,B,22,Festuca,1,Soil,1300,22.9398278,Current,Bacteria
B22D2S,B,22,Festuca,2,Soil,1300,22.9398278,Current,Bacteria
B24D1S,B,24,Festuca,1,Soil,1000,22.8444974,Current,Bacteria
B24D2S,B,24,Festuca,2,Soil,1000,22.8444974,Current,Bacteria
C25D1S,C,25,Festuca,1,Soil,900,12.0503096,Future,Bacteria
C25D2S,C,25,Festuca,2,Soil,900,12.0503096,Future,Bacteria
C27D1S,C,27,Festuca,1,Soil,1200,16.1399646,Future,Bacteria
C27D2S,C,27,Festuca,2,Soil,1200,16.1399646,Future,Bacteria
C29D1S,C,29,Festuca,1,Soil,1500,20.0049032,Future,Bacteria
C29D2S,C,29,Festuca,2,Soil,1500,20.0049032,Future,Bacteria
C32D1S,C,32,Festuca,1,Soil,0,6.0754128,Future,Bacteria
C32D2S,C,32,Festuca,2,Soil,0,6.0754128,Future,Bacteria
C34D1S,C,34,Festuca,1,Soil,300,9.7305422,Future,Bacteria
C34D2S,C,34,Festuca,2,Soil,300,9.7305422,Future,Bacteria
C36D1S,C,36,Festuca,1,Soil,600,11.2000447,Future,Bacteria
C36D2S,C,36,Festuca,2,Soil,600,11.2000447,Future,Bacteria
D38D1S,D,38,Festuca,1,Soil,900,8.6474907,Current,Bacteria
D38D2S,D,38,Festuca,2,Soil,900,8.6474907,Current,Bacteria
D40D1S,D,40,Festuca,1,Soil,1200,16.4291337,Current,Bacteria
D40D2S,D,40,Festuca,2,Soil,1200,16.4291337,Current,Bacteria
D42D1S,D,42,Festuca,1,Soil,1500,14.2653867,Current,Bacteria
D42D2S,D,42,Festuca,2,Soil,1500,14.2653867,Current,Bacteria
D43D1S,D,43,Festuca,1,Soil,0,9.6708489,Current,Bacteria
D43D2S,D,43,Festuca,2,Soil,0,9.6708489,Current,Bacteria
