ASV ID,kingdom,phylum,class,order,family,genus,species
e16495a0fa1aed880e2c585030efae72,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,Unassigned
0c1d11638a4925cc1df528447b1b1aa2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Unassigned
cb38ca4af0b5a8fc7d1a661281edd5e5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,uncultured_bacterium
9784d3af78bc916a7a892a1ede2e37a0,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Unassigned
cba25e5f13a62e8a1fbdcdf62a0c4584,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Unassigned,Unassigned
45a1033bc181a3d144aab8d4fa827c80,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unassigned
9da25cf74c60c6d8e68e05e334ee3d61,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured,Unassigned
558e2930c7039e58654183adce3051d5,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured_Chitinophagaceae
fec92c879a6af33f8b0c7eb2d949b24b,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,Unassigned
42378ce4ae85b738bc3ddac2c099ea2e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Unassigned,Unassigned
174cfa741d260d1eb14a688f8067cab4,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,uncultured_bacterium
1a94aa346e6403f8b8ed5ca0ff09b58a,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,metagenome
6d0367b9732a489efa09e27d9e6cd1c6,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,uncultured_bacterium
ce8dbd4c910b5e76013ac61dba2e9efe,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Unassigned
b722e510d99361e07c83d4504977fa69,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Unassigned
a54cc2d856fa0a2d04b4db9b4f7a3351,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unassigned
5f905f562acbd5d7d3d332e60b56df3f,Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,YC-ZSS-LKJ147,metagenome
05a054705ab6ac8c9699243456b58e86,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unassigned,Unassigned
df44a949da7592c330cd67c0291fbadf,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,uncultured_soil
385994f9833abbaf01727bd19cc921e5,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,uncultured_cyanobacterium
458ca230cae34fb6c7d98a3197bfbf48,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,Unassigned
1494b4ae539584e884468f1ed1417260,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus_Xiphinematobacter,uncultured_bacterium
12e8b19a5bf48f3e01981c3384bb4aac,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Salinispira,metagenome
7ed07d7000a0de9e1dd5f353b3c7d4f0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Unassigned
6be3be61e8c583d5455b18632a9b7f13,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,bacterium
6a0f78f02c30d0575be6d54689b21b51,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Holophaga,Unassigned
