ASV ID,kingdom,phylum,class,order,family,genus,species
a265f0bcd26d001227bb2ed1529774be,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,uncultured,uncultured_bacterium
0c1d11638a4925cc1df528447b1b1aa2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Unassigned
cb38ca4af0b5a8fc7d1a661281edd5e5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,uncultured_bacterium
bc90198a1454d89a9e446e86255822fb,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadales,Chthonomonadales,uncultured_bacterium
e05381333f6a3b8db51c18e881a9a0f7,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,metagenome
28ac38617334de5e368ff36af7d8a1ed,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,uncultured_bacterium
9784d3af78bc916a7a892a1ede2e37a0,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Unassigned
cba25e5f13a62e8a1fbdcdf62a0c4584,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Unassigned,Unassigned
b7398776e6042e32f5c688a21e83df0d,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,uncultured,Unassigned
45a1033bc181a3d144aab8d4fa827c80,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unassigned
0b1caa9e6aa34d7f583911523186a2ac,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,A21b,Unassigned
558e2930c7039e58654183adce3051d5,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured_Chitinophagaceae
0a03c94723336d8804e2feca80d2c4a8,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured_bacterium
fec92c879a6af33f8b0c7eb2d949b24b,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,Unassigned
42378ce4ae85b738bc3ddac2c099ea2e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Unassigned,Unassigned
