ASV ID,kingdom,phylum,class,order,family,genus,species,species hypotheses
358b61b74b6df35f7fc13cd617d3fc86,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_sp,SH1193376.09FU
8e63ade9a9dad5c070480645ab2c2d19,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
09dea212e813c5868a993e83eacf2b10,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
f8ba38ef8f2df7d18fb21f015943b507,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp,Unassigned
d8ade573262f4cb2ba5dec982510fd9f,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
7e7c6ffb27cf293b5a77b8626188f481,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
5aa57ca5751f1c50f016343453a17217,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_rosae,SH4321377.09FU
6bfa927544a9bd5c81cc07ce50e27276,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
cea92ecd732280b97df55285f443bfc8,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Podosphaera,Unassigned,Unassigned
9197a73374ad786ceb13c7ce1244645c,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia_lipolytica,Unassigned
15afe5c8598fbc463747a9e6194fc05a,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraphaeosphaeria,Paraphaeosphaeria_sporulosa,SH1068174.09FU
47c5739b462d08c1fbe2addf7c15afc9,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
a683e78181a23955345be20ce1b08916,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia_crocea,SH1004042.09FU
0aa812c61552c18aed0a738a8ca773c3,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Unassigned,Unassigned,Unassigned
70f3d034a2b7c50750f3281690885ba3,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Gibellulopsis,Gibellulopsis_nigrescens,SH1240814.09FU
c7b909e38aadd04c1b83f9200cf3a24e,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
dc65f9c41e908c4e5a2d36cc86e0c1e4,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Microdochium,Microdochium_poae,SH1460435.09FU
eb5eb0c8fbb80e2124cf32e45ac986af,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Unassigned,Unassigned
00a9899a7756449219f04f8c84e180ac,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_victoriae,SH0154148.09FU
afc8e55cd2b041eb122a44db3de4f341,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
624f247cabdc74fd157f6ee3a1407971,Fungi,Ascomycota,Leotiomycetes,Helotiales,Calloriaceae,Populomyces,Populomyces_zwinianus,SH1239743.09FU
27668d278bb9672cefb9e9c6e5cb9b1b,Fungi,Ascomycota,Sordariomycetes,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
dedf91400c95d28715a54ae20c42fd88,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp,SH1038136.09FU
37b7c84d4ef16ca42ffd0eddbd42016b,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Unassigned,Unassigned
840c8eadf6ca8b3bd8648a7b786d4466,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
a158cb77bb636b55703090ef3b6fd8a7,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Clohesyomyces,Clohesyomyces_aquaticus,SH1252285.09FU
2411fdefd3af8b51bfd88bde69b6a710,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_sp,SH1193376.09FU
5ea16f439ebbf18a9145a1d674fc860a,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,SH0958234.09FU
79b7e46099c790fb14408e69971eaa19,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
e055675ba173ef1c1e22547a05f382e0,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,Bullera_unica,SH1008211.09FU
6d390034956db2f59250d3d8bd65b9f0,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
