ASV ID,kingdom,phylum,class,order,family,genus,species,species hypotheses
9f42a5f7b485ef4e30436a896f96f4c1,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
2192772bdeb45b26bcc5fde85e99936a,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Torula,Torula_fici,SH0977863.09FU
1e54178dadb23ac69e4195e4f8f58cda,Fungi,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Myrmecridium_schulzeri,SH0980725.09FU
0e5ebdb4cd426f308dbf1307e041621f,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus_roseus,SH1477560.09FU
3863e33131466f00e0e6b499067a2e83,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Unassigned,Unassigned
0b24497ec2cc237a53ff28548b4b4399,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_sp,Unassigned
4170bea37e492375ff4077f2cae76498,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_verrucosa,SH0949757.09FU
6bd22cc6f692956d7d7c2fcd4bf82732,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Unassigned,Unassigned,Unassigned
0e0371d2cdeb6bd83ef2e4ab0e7d59c3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_fam_Incertae_sedis,Agaricales_gen_Incertae_sedis,Agaricales_sp,SH1095145.09FU
0e5f951be33943d8e67a2df6f532bcbe,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Laburnicola,Laburnicola_sp,Unassigned
cb7633795f8a99926fccf8ba1aee0b9a,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,SH0960943.09FU
b1c816259ea950f215e603c556628f14,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_sp,SH0243763.09FU
ffb068ca118fed9e7d4e06f42b0dec08,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_sp,SH0961223.09FU
70d07c8f9233062ace98ed147cf4a49f,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Orbiliales_gen_Incertae_sedis,Orbiliales_sp,SH0889263.09FU
b62aa8136117f4caa58adc2ced6a3e89,Fungi,Ascomycota,Leotiomycetes,Phacidiales,Phacidiaceae,Gremmenia,Gremmenia_infestans,SH0975961.09FU
4905fda7dba5fb0f9b74999f388b76c4,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Chrysozymaceae,Slooffia,Slooffia_cresolica,SH1307403.09FU
4293f61a1443e7dd4fcb6e45b688f30f,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Unassigned
1b4524bfcfbcab486c7f1d225894c265,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Phaeosphaeria_sp,SH0993031.09FU
4cb502102b2c301cfb27143802462f19,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,Pyrenochaeta_sp,Unassigned
3ed6932f48465ea9faf7f268af25c648,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Unassigned,Unassigned,Unassigned,Unassigned
bd573bbd44a635e4b99697164556fe18,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1a2857d5df9279af0781948d261c4a24,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Sporidesmiella,Sporidesmiella_sp,SH0963509.09FU
bbc959b591610b017e38b4dad936f450,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidiaceae_gen_Incertae_sedis,Ceratobasidiaceae_sp,SH1147241.09FU
615fcb30cedf83ba7fb5ee1aa2d851bd,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastrales_fam_Incertae_sedis,Geastrales_gen_Incertae_sedis,Geastrales_sp,SH1238902.09FU
6b8d21947efd59b7c0b80b635982bc88,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,SH1037278.09FU
882459d2aad23502fef9ea733cc90732,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,Cistella_sp,SH0990311.09FU
358b61b74b6df35f7fc13cd617d3fc86,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_sp,SH1193376.09FU
fa2cb89ae02d8bc0452cab171d1a9007,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp,SH0980507.09FU
