ASV ID,kingdom,phylum,class,order,family,genus,species,species hypotheses
144369169c517adfa8985e27d28ed5b9,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,Cristinia,Cristinia_sp,Unassigned
a871791fbeb0a2117a1fc070d4ba0633,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_kurtzmanii,SH1104100.09FU
9f42a5f7b485ef4e30436a896f96f4c1,Fungi,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
fb231a98311ffad17f8cec3cd45fa5d3,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Hyphodontia,Hyphodontia_sp,SH0917753.09FU
1670f98f8a6bac5dde7d1ce1e3e7c246,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,SH1111730.09FU
2192772bdeb45b26bcc5fde85e99936a,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Torula,Torula_fici,SH0977863.09FU
1e54178dadb23ac69e4195e4f8f58cda,Fungi,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Myrmecridium_schulzeri,SH0980725.09FU
4904a0faa75ba31a96d394123c994458,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Operculomyces,Operculomyces_laminatus,SH1166118.09FU
57e03aca90cf97f7192b0d83233b2404,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Unassigned
dfd2eb21f7dceb2164c1566eb68f8f3e,Fungi,Ascomycota,Orbiliomycetes,GS33,GS33_fam_Incertae_sedis,GS33_gen_Incertae_sedis,GS33_sp,SH1195840.09FU
0e5ebdb4cd426f308dbf1307e041621f,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus_roseus,SH1477560.09FU
3863e33131466f00e0e6b499067a2e83,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Unassigned,Unassigned
0b24497ec2cc237a53ff28548b4b4399,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_sp,Unassigned
af6477f753ad961bd9b2e9bf297508c8,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_curvuloides,SH0965485.09FU
4170bea37e492375ff4077f2cae76498,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_verrucosa,SH0949757.09FU
0e0371d2cdeb6bd83ef2e4ab0e7d59c3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_fam_Incertae_sedis,Agaricales_gen_Incertae_sedis,Agaricales_sp,SH1095145.09FU
b1c816259ea950f215e603c556628f14,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_sp,SH0243763.09FU
f9d42789bff095b2852e56c8aae28ca7,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp,Unassigned
ab1c88ad23e0dc8376d9efad72ea1094,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces_starkeyi,SH0996225.09FU
ffb068ca118fed9e7d4e06f42b0dec08,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_sp,SH0961223.09FU
70d07c8f9233062ace98ed147cf4a49f,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Orbiliales_gen_Incertae_sedis,Orbiliales_sp,SH0889263.09FU
84243b79a04ab2760a208c3b9300cfa1,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Pezizomycotina_gen_Incertae_sedis,Pezizomycotina_sp,SH1003291.09FU
bb8e5b09ca25e3402e44841b00c8c58c,Fungi,Mucoromycota,Endogonomycetes,Endogonales,Endogonales_fam_Incertae_sedis,Endogonales_gen_Incertae_sedis,Endogonales_sp,SH1317509.09FU
146dd14ac5b76cc75a7fb3a41ff72e24,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,Kickxellales_fam_Incertae_sedis,Kickxellales_gen_Incertae_sedis,Kickxellales_sp,SH1041754.09FU
5c0057ae6ed2f4f238228cc6bc7c4bac,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Pezizomycotina_gen_Incertae_sedis,Pezizomycotina_sp,SH1041822.09FU
