Plot,Mesocosm,Species,Replicate,Moisture,GWC,VWC,Climate,Shannon,Inv_Simpson,Pielou_evenness,Simpson_evenness,Richness,Compartment
A,2,Festuca,1,700,7.025081906,8.331210191,Future,5.530706454,114.9205183,0.872544666,0.203039785,566,Bacteria-Root endosphere
A,4,Festuca,1,1600,11.53846154,19.66242038,Future,5.761039395,166.7995562,0.908125469,0.29314509,569,Bacteria-Root endosphere
A,6,Festuca,1,0,8.468854123,12.22292994,Future,5.343395099,101.4612689,0.876566418,0.228516371,444,Bacteria-Root endosphere
A,7,Festuca,1,400,7.855652387,10.1910828,Future,5.87431995,196.88603,0.901291229,0.290821315,677,Bacteria-Root endosphere
A,9,Festuca,1,1300,11.77822905,19.57961783,Future,6.035859872,249.2070139,0.92115263,0.35550216,701,Bacteria-Root endosphere
A,11,Festuca,1,1000,8.066911251,11.76433121,Future,5.478298456,170.3079732,0.931598967,0.475720595,358,Bacteria-Root endosphere
B,13,Festuca,1,700,9.796478304,16.60191083,Current,5.501650253,69.28007861,0.85608965,0.112103687,618,Bacteria-Root endosphere
B,15,Festuca,1,1600,14.84019674,22.96496815,Current,6.105954782,266.7626796,0.919407814,0.348254151,766,Bacteria-Root endosphere
B,17,Festuca,1,0,8.008504607,12.5955414,Current,5.700076731,195.5177325,0.916617345,0.389477555,502,Bacteria-Root endosphere
B,20,Festuca,1,400,7.119490739,10.25796178,Current,5.599763675,145.2506654,0.895413649,0.279328203,520,Bacteria-Root endosphere
B,22,Festuca,1,1300,22.93982783,33.77707006,Current,5.582241204,155.9888246,0.905720603,0.328397525,475,Bacteria-Root endosphere
B,24,Festuca,1,1000,22.8444974,25.6433121,Current,5.740529356,207.3987547,0.927033804,0.424128333,489,Bacteria-Root endosphere
C,25,Festuca,1,900,12.05030961,17.91082803,Future,5.665641206,139.6594401,0.897121146,0.252548716,553,Bacteria-Root endosphere
C,27,Festuca,1,1200,16.1399646,23.81210191,Future,5.503639103,144.3035912,0.90693031,0.334036091,432,Bacteria-Root endosphere
C,29,Festuca,1,1500,20.00490316,25.98726115,Future,5.767031342,177.5208239,0.921312611,0.339427961,523,Bacteria-Root endosphere
C,32,Festuca,1,0,6.075412762,8.671974522,Future,5.650715196,159.9445047,0.912831548,0.327755133,488,Bacteria-Root endosphere
C,34,Festuca,1,300,9.730542183,14.22611465,Future,5.830501597,190.9224745,0.913369709,0.32250418,592,Bacteria-Root endosphere
C,36,Festuca,1,600,11.20004467,19.16242038,Future,5.877757876,194.0699469,0.907055163,0.297653293,652,Bacteria-Root endosphere
D,38,Festuca,1,900,8.64749066,10.54140127,Current,5.733690125,152.3218675,0.89152464,0.245284811,621,Bacteria-Root endosphere
D,40,Festuca,1,1200,16.4291337,25.25796178,Current,5.685604239,135.8938481,0.885608836,0.221325486,614,Bacteria-Root endosphere
D,42,Festuca,1,1500,14.2653867,22.66878981,Current,5.62620325,129.8501842,0.893719701,0.239575986,542,Bacteria-Root endosphere
