Plot,Mesocosm,Species,Replicate,Moisture,GWC,VWC,Climate,Shannon,Inv_Simpson,Pielou_evenness,Simpson_evenness,Richness,Compartment
A,2,Festuca,1,700,7.025081906,8.331210191,Future,6.368549531,376.0247854,0.940591877,0.431221084,872,Bacteria-Rhizosphere
A,4,Festuca,1,1600,11.53846154,19.66242038,Future,5.93906811,261.9057592,0.938812485,0.468525508,559,Bacteria-Rhizosphere
A,6,Festuca,1,0,8.468854123,12.22292994,Future,6.035787721,253.9550647,0.93078292,0.387717656,655,Bacteria-Rhizosphere
A,7,Festuca,1,400,7.855652387,10.1910828,Future,6.314496973,297.4150163,0.925581101,0.323981499,918,Bacteria-Rhizosphere
A,9,Festuca,1,1300,11.77822905,19.57961783,Future,6.156006331,307.6609043,0.935867449,0.427901119,719,Bacteria-Rhizosphere
A,11,Festuca,1,1000,8.066911251,11.76433121,Future,5.622106902,190.6903284,0.937572221,0.474354051,402,Bacteria-Rhizosphere
B,13,Festuca,1,700,9.796478304,16.60191083,Current,6.435612989,404.9861605,0.944698617,0.445529329,909,Bacteria-Rhizosphere
B,15,Festuca,1,1600,14.84019674,22.96496815,Current,6.273824395,346.3488024,0.939251626,0.435111561,796,Bacteria-Rhizosphere
B,17,Festuca,1,0,8.008504607,12.5955414,Current,5.946460282,230.4751113,0.927659602,0.379070907,608,Bacteria-Rhizosphere
B,20,Festuca,1,400,7.119490739,10.25796178,Current,6.054764479,278.3918177,0.937283906,0.435667946,639,Bacteria-Rhizosphere
B,22,Festuca,1,1300,22.93982783,33.77707006,Current,5.889362835,248.8756219,0.939144267,0.470464314,529,Bacteria-Rhizosphere
B,24,Festuca,1,1000,22.8444974,25.6433121,Current,5.777223378,208.181312,0.932959494,0.425728654,489,Bacteria-Rhizosphere
C,25,Festuca,1,900,12.05030961,17.91082803,Future,6.12672588,305.275936,0.936867551,0.441150197,692,Bacteria-Rhizosphere
C,27,Festuca,1,1200,16.1399646,23.81210191,Future,5.559703467,178.1027208,0.937620353,0.473677449,376,Bacteria-Rhizosphere
C,29,Festuca,1,1500,20.00490316,25.98726115,Future,5.93778411,274.1447086,0.94432533,0.509562655,538,Bacteria-Rhizosphere
C,32,Festuca,1,0,6.075412762,8.671974522,Future,5.789890919,189.6450216,0.93016894,0.375534696,505,Bacteria-Rhizosphere
C,34,Festuca,1,300,9.730542183,14.22611465,Future,6.210753735,267.2858948,0.929984363,0.336208673,795,Bacteria-Rhizosphere
C,36,Festuca,1,600,11.20004467,19.16242038,Future,6.293342049,339.8151191,0.937491898,0.412898079,823,Bacteria-Rhizosphere
D,38,Festuca,1,900,8.64749066,10.54140127,Current,6.237430837,336.9386065,0.93701173,0.433083042,778,Bacteria-Rhizosphere
D,40,Festuca,1,1200,16.4291337,25.25796178,Current,6.122269749,314.202436,0.938908983,0.46274291,679,Bacteria-Rhizosphere
D,42,Festuca,1,1500,14.2653867,22.66878981,Current,5.877438279,238.0486801,0.939525755,0.456907255,521,Bacteria-Rhizosphere
D,43,Festuca,1,0,9.670848949,11.34076433,Current,5.520658242,164.8384023,0.928556381,0.431514142,382,Bacteria-Rhizosphere
D,45,Festuca,1,300,7.840698598,9.436305732,Current,5.126208195,101.1289869,0.915652345,0.374551803,270,Bacteria-Rhizosphere
D,47,Festuca,1,600,9.611113439,14.60828025,Current,5.878075524,226.2491825,0.934829476,0.420537514,538,Bacteria-Rhizosphere
