Plot,Mesocosm,Species,Replicate,Moisture,GWC,VWC,Climate,Shannon,Inv_Simpson,Pielou_evenness,Simpson_evenness,Richness,Compartment
A,2,Festuca,1,700,7.025081906,8.331210191,Future,0.325082973,1.219512195,0.468995594,0.609756098,2,Fungi-Leaf endosphere
A,4,Festuca,1,1600,11.53846154,19.66242038,Future,0,1,NA,1,1,Fungi-Leaf endosphere
A,6,Festuca,1,0,8.468854123,12.22292994,Future,0,1,NA,1,1,Fungi-Leaf endosphere
A,7,Festuca,1,400,7.855652387,10.1910828,Future,1.279854226,3.333333333,0.923219672,0.833333333,4,Fungi-Leaf endosphere
A,9,Festuca,1,1300,11.77822905,19.57961783,Future,1.054920168,2.777777778,0.960229718,0.925925926,3,Fungi-Leaf endosphere
A,11,Festuca,1,1000,8.066911251,11.76433121,Future,0.63903186,1.515151515,0.581671866,0.505050505,3,Fungi-Leaf endosphere
B,13,Festuca,1,700,9.796478304,16.60191083,Current,1.83437197,5.555555556,0.942680715,0.793650794,7,Fungi-Leaf endosphere
B,15,Festuca,1,1600,14.84019674,22.96496815,Current,1.088899975,2.380952381,0.785475297,0.595238095,4,Fungi-Leaf endosphere
B,17,Festuca,1,0,8.008504607,12.5955414,Current,NA,NA,NA,NA,NA,Fungi-Leaf endosphere
B,20,Festuca,1,400,7.119490739,10.25796178,Current,1.64341772,4.545454545,0.917208893,0.757575758,6,Fungi-Leaf endosphere
B,22,Festuca,1,1300,22.93982783,33.77707006,Current,0.500402424,1.470588235,0.721928095,0.735294118,2,Fungi-Leaf endosphere
B,24,Festuca,1,1000,22.8444974,25.6433121,Current,0.897945725,2.173913043,0.817345422,0.724637681,3,Fungi-Leaf endosphere
C,25,Festuca,1,900,12.05030961,17.91082803,Future,1.279854226,3.333333333,0.923219672,0.833333333,4,Fungi-Leaf endosphere
C,27,Festuca,1,1200,16.1399646,23.81210191,Future,0.897945725,2.173913043,0.817345422,0.724637681,3,Fungi-Leaf endosphere
C,29,Festuca,1,1500,20.00490316,25.98726115,Future,1.504788284,4.166666667,0.93497753,0.833333333,5,Fungi-Leaf endosphere
C,32,Festuca,1,0,6.075412762,8.671974522,Future,1.695742534,5,0.946411928,0.833333333,6,Fungi-Leaf endosphere
C,34,Festuca,1,300,9.730542183,14.22611465,Future,0.801818553,1.851851852,0.729846699,0.617283951,3,Fungi-Leaf endosphere
C,36,Festuca,1,600,11.20004467,19.16242038,Future,1.504788284,4.166666667,0.93497753,0.833333333,5,Fungi-Leaf endosphere
D,38,Festuca,1,900,8.64749066,10.54140127,Current,1.359236701,3.125,0.844541246,0.625,5,Fungi-Leaf endosphere
D,40,Festuca,1,1200,16.4291337,25.25796178,Current,0.801818553,1.851851852,0.729846699,0.617283951,3,Fungi-Leaf endosphere
D,42,Festuca,1,1500,14.2653867,22.66878981,Current,1.088899975,2.380952381,0.785475297,0.595238095,4,Fungi-Leaf endosphere
D,43,Festuca,1,0,9.670848949,11.34076433,Current,1.418483662,3.571428571,0.881353453,0.714285714,5,Fungi-Leaf endosphere
D,45,Festuca,1,300,7.840698598,9.436305732,Current,1.359236701,3.125,0.844541246,0.625,5,Fungi-Leaf endosphere
D,47,Festuca,1,600,9.611113439,14.60828025,Current,1.279854226,3.333333333,0.923219672,0.833333333,4,Fungi-Leaf endosphere
A,1,Lolium,1,700,7.849728307,11.10828025,Future,0.325082973,1.219512195,0.468995594,0.609756098,2,Fungi-Leaf endosphere
A,3,Lolium,1,1600,9.530503233,12.95541401,Future,0.500402424,1.470588235,0.721928095,0.735294118,2,Fungi-Leaf endosphere
A,5,Lolium,1,0,7.074982364,10.85987261,Future,0.500402424,1.470588235,0.721928095,0.735294118,2,Fungi-Leaf endosphere
A,8,Lolium,1,400,7.1942959,9.640127389,Future,1.029653014,2.631578947,0.937230563,0.877192982,3,Fungi-Leaf endosphere
A,10,Lolium,1,1300,10.04681671,12.78025478,Future,0.801818553,1.851851852,0.729846699,0.617283951,3,Fungi-Leaf endosphere
A,12,Lolium,1,1000,8.557844691,13.75796178,Future,1.088899975,2.941176471,0.991159471,0.980392157,3,Fungi-Leaf endosphere
B,14,Lolium,1,700,8.956181566,13.78025478,Current,1.16828245,2.777777778,0.842737649,0.694444444,4,Fungi-Leaf endosphere
B,16,Lolium,1,1600,11.26601723,18.4522293,Current,0.500402424,1.470588235,0.721928095,0.735294118,2,Fungi-Leaf endosphere
B,18,Lolium,1,0,10.63711655,14.6433121,Current,0.325082973,1.219512195,0.468995594,0.609756098,2,Fungi-Leaf endosphere
B,19,Lolium,1,400,8.414476414,10.98089172,Current,0.943348392,2.380952381,0.858672711,0.793650794,3,Fungi-Leaf endosphere
B,21,Lolium,1,1300,11.25777605,18.44267516,Current,0,1,NA,1,1,Fungi-Leaf endosphere
B,23,Lolium,1,1000,9.438405416,14.29617834,Current,0.693147181,2,1,1,2,Fungi-Leaf endosphere
C,26,Lolium,1,900,9.317005933,14.85350318,Future,0.63903186,1.515151515,0.581671866,0.505050505,3,Fungi-Leaf endosphere
C,28,Lolium,1,1200,11.69067475,17.18789809,Future,0.325082973,1.219512195,0.468995594,0.609756098,2,Fungi-Leaf endosphere
C,30,Lolium,1,1500,11.4048657,20.66242038,Future,0,1,NA,1,1,Fungi-Leaf endosphere
C,31,Lolium,1,0,7.638292309,13.02547771,Future,0,1,NA,1,1,Fungi-Leaf endosphere
C,33,Lolium,1,300,8.430723502,11.92356688,Future,0.801818553,1.851851852,0.729846699,0.617283951,3,Fungi-Leaf endosphere
C,35,Lolium,1,600,10.05391196,14.37261146,Future,0.801818553,1.851851852,0.729846699,0.617283951,3,Fungi-Leaf endosphere
D,37,Lolium,1,900,8.583899127,15.78343949,Current,1.029653014,2.631578947,0.937230563,0.877192982,3,Fungi-Leaf endosphere
D,39,Lolium,1,1200,8.280185534,7.277070064,Current,0,1,NA,1,1,Fungi-Leaf endosphere
D,41,Lolium,1,1500,11.75979304,18.38535032,Current,0.943348392,2.380952381,0.858672711,0.793650794,3,Fungi-Leaf endosphere
D,44,Lolium,1,0,7.174925175,8.24522293,Current,1.359236701,3.125,0.844541246,0.625,5,Fungi-Leaf endosphere
D,46,Lolium,1,300,20.60101642,17.81528662,Current,0,1,NA,1,1,Fungi-Leaf endosphere
D,48,Lolium,1,600,11.55219601,14.11464968,Current,1.418483662,3.571428571,0.881353453,0.714285714,5,Fungi-Leaf endosphere
A,2,Festuca,2,700,7.025081906,8.331210191,Future,0.63903186,1.515151515,0.581671866,0.505050505,3,Fungi-Leaf endosphere
A,4,Festuca,2,1600,11.53846154,19.66242038,Future,0.63903186,1.515151515,0.581671866,0.505050505,3,Fungi-Leaf endosphere
A,6,Festuca,2,0,8.468854123,12.22292994,Future,0.801818553,1.851851852,0.729846699,0.617283951,3,Fungi-Leaf endosphere
A,7,Festuca,2,400,7.855652387,10.1910828,Future,1.504788284,4.166666667,0.93497753,0.833333333,5,Fungi-Leaf endosphere
A,9,Festuca,2,1300,11.77822905,19.57961783,Future,1.088899975,2.380952381,0.785475297,0.595238095,4,Fungi-Leaf endosphere
A,11,Festuca,2,1000,8.066911251,11.76433121,Future,1.418483662,3.571428571,0.881353453,0.714285714,5,Fungi-Leaf endosphere
B,13,Festuca,2,700,9.796478304,16.60191083,Current,1.83437197,5.555555556,0.942680715,0.793650794,7,Fungi-Leaf endosphere
B,15,Festuca,2,1600,14.84019674,22.96496815,Current,1.83437197,5.555555556,0.942680715,0.793650794,7,Fungi-Leaf endosphere
B,17,Festuca,2,0,8.008504607,12.5955414,Current,0.801818553,1.851851852,0.729846699,0.617283951,3,Fungi-Leaf endosphere
B,20,Festuca,2,400,7.119490739,10.25796178,Current,0.897945725,2.173913043,0.817345422,0.724637681,3,Fungi-Leaf endosphere
B,22,Festuca,2,1300,22.93982783,33.77707006,Current,0,1,NA,1,1,Fungi-Leaf endosphere
B,24,Festuca,2,1000,22.8444974,25.6433121,Current,0.897945725,2.173913043,0.817345422,0.724637681,3,Fungi-Leaf endosphere
C,25,Festuca,2,900,12.05030961,17.91082803,Future,0.693147181,2,1,1,2,Fungi-Leaf endosphere
C,27,Festuca,2,1200,16.1399646,23.81210191,Future,1.695742534,5,0.946411928,0.833333333,6,Fungi-Leaf endosphere
C,29,Festuca,2,1500,20.00490316,25.98726115,Future,1.83437197,5.555555556,0.942680715,0.793650794,7,Fungi-Leaf endosphere
C,32,Festuca,2,0,6.075412762,8.671974522,Future,1.470808476,3.846153846,0.913864688,0.769230769,5,Fungi-Leaf endosphere
C,34,Festuca,2,300,9.730542183,14.22611465,Future,0.943348392,2.380952381,0.858672711,0.793650794,3,Fungi-Leaf endosphere
C,36,Festuca,2,600,11.20004467,19.16242038,Future,0.943348392,2.380952381,0.858672711,0.793650794,3,Fungi-Leaf endosphere
D,38,Festuca,2,900,8.64749066,10.54140127,Current,1.695742534,5,0.946411928,0.833333333,6,Fungi-Leaf endosphere
D,40,Festuca,2,1200,16.4291337,25.25796178,Current,0,1,NA,1,1,Fungi-Leaf endosphere
D,42,Festuca,2,1500,14.2653867,22.66878981,Current,1.748067349,5.555555556,0.975614963,0.925925926,6,Fungi-Leaf endosphere
D,43,Festuca,2,0,9.670848949,11.34076433,Current,1.470808476,3.846153846,0.913864688,0.769230769,5,Fungi-Leaf endosphere
D,45,Festuca,2,300,7.840698598,9.436305732,Current,1.504788284,4.166666667,0.93497753,0.833333333,5,Fungi-Leaf endosphere
D,47,Festuca,2,600,9.611113439,14.60828025,Current,1.83437197,5.555555556,0.942680715,0.793650794,7,Fungi-Leaf endosphere
A,1,Lolium,2,700,7.849728307,11.10828025,Future,0.63903186,1.515151515,0.581671866,0.505050505,3,Fungi-Leaf endosphere
A,3,Lolium,2,1600,9.530503233,12.95541401,Future,0,1,NA,1,1,Fungi-Leaf endosphere
A,5,Lolium,2,0,7.074982364,10.85987261,Future,1.088899975,2.941176471,0.991159471,0.980392157,3,Fungi-Leaf endosphere
A,8,Lolium,2,400,7.1942959,9.640127389,Future,0,1,NA,1,1,Fungi-Leaf endosphere
A,10,Lolium,2,1300,10.04681671,12.78025478,Future,0.801818553,1.851851852,0.729846699,0.617283951,3,Fungi-Leaf endosphere
A,12,Lolium,2,1000,8.557844691,13.75796178,Future,0.801818553,1.851851852,0.729846699,0.617283951,3,Fungi-Leaf endosphere
B,14,Lolium,2,700,8.956181566,13.78025478,Current,0.325082973,1.219512195,0.468995594,0.609756098,2,Fungi-Leaf endosphere
B,16,Lolium,2,1600,11.26601723,18.4522293,Current,1.470808476,3.846153846,0.913864688,0.769230769,5,Fungi-Leaf endosphere
B,18,Lolium,2,0,10.63711655,14.6433121,Current,0.693147181,2,1,1,2,Fungi-Leaf endosphere
B,19,Lolium,2,400,8.414476414,10.98089172,Current,1.088899975,2.941176471,0.991159471,0.980392157,3,Fungi-Leaf endosphere
B,21,Lolium,2,1300,11.25777605,18.44267516,Current,0.325082973,1.219512195,0.468995594,0.609756098,2,Fungi-Leaf endosphere
B,23,Lolium,2,1000,9.438405416,14.29617834,Current,0,1,NA,1,1,Fungi-Leaf endosphere
C,26,Lolium,2,900,9.317005933,14.85350318,Future,0.63903186,1.515151515,0.581671866,0.505050505,3,Fungi-Leaf endosphere
C,28,Lolium,2,1200,11.69067475,17.18789809,Future,0.500402424,1.470588235,0.721928095,0.735294118,2,Fungi-Leaf endosphere
C,30,Lolium,2,1500,11.4048657,20.66242038,Future,0.500402424,1.470588235,0.721928095,0.735294118,2,Fungi-Leaf endosphere
C,31,Lolium,2,0,7.638292309,13.02547771,Future,0.610864302,1.724137931,0.881290899,0.862068966,2,Fungi-Leaf endosphere
C,33,Lolium,2,300,8.430723502,11.92356688,Future,0.610864302,1.724137931,0.881290899,0.862068966,2,Fungi-Leaf endosphere
C,35,Lolium,2,600,10.05391196,14.37261146,Future,0.693147181,2,1,1,2,Fungi-Leaf endosphere
D,37,Lolium,2,900,8.583899127,15.78343949,Current,0.63903186,1.515151515,0.581671866,0.505050505,3,Fungi-Leaf endosphere
D,39,Lolium,2,1200,8.280185534,7.277070064,Current,0.325082973,1.219512195,0.468995594,0.609756098,2,Fungi-Leaf endosphere
D,41,Lolium,2,1500,11.75979304,18.38535032,Current,0.940447989,1.923076923,0.678389825,0.480769231,4,Fungi-Leaf endosphere
D,44,Lolium,2,0,7.174925175,8.24522293,Current,0.950270539,2.272727273,0.864973521,0.757575758,3,Fungi-Leaf endosphere
D,46,Lolium,2,300,20.60101642,17.81528662,Current,1.088899975,2.380952381,0.785475297,0.595238095,4,Fungi-Leaf endosphere
D,48,Lolium,2,600,11.55219601,14.11464968,Current,1.359236701,3.125,0.844541246,0.625,5,Fungi-Leaf endosphere
