Plot,Mesocosm,Species,Replicate,Moisture,GWC,VWC,Climate,Shannon,Inv_Simpson,Pielou_evenness,Simpson_evenness,Richness,Compartment
A,2,Festuca,1,700,7.025081906,8.331210191,Future,2.930426065,9.28828324,0.69944333,0.140731564,66,Fungi-Root endosphere
A,4,Festuca,1,1600,11.53846154,19.66242038,Future,2.928162759,9.100296973,0.744733626,0.178437196,51,Fungi-Root endosphere
A,6,Festuca,1,0,8.468854123,12.22292994,Future,3.337872409,15.42416039,0.793844571,0.230211349,67,Fungi-Root endosphere
A,7,Festuca,1,400,7.855652387,10.1910828,Future,3.020200577,10.63607992,0.706204434,0.147723332,72,Fungi-Root endosphere
A,9,Festuca,1,1300,11.77822905,19.57961783,Future,2.315678097,3.751664112,0.567910934,0.063587527,59,Fungi-Root endosphere
A,11,Festuca,1,1000,8.066911251,11.76433121,Future,2.751227611,5.288270781,0.652025735,0.077768688,68,Fungi-Root endosphere
B,13,Festuca,1,700,9.796478304,16.60191083,Current,2.895347172,11.37494541,0.740115068,0.227498908,50,Fungi-Root endosphere
B,15,Festuca,1,1600,14.84019674,22.96496815,Current,2.730863379,8.797114735,0.659129756,0.139636742,63,Fungi-Root endosphere
B,17,Festuca,1,0,8.008504607,12.5955414,Current,3.545497731,18.37716071,0.793902973,0.211231732,87,Fungi-Root endosphere
B,20,Festuca,1,400,7.119490739,10.25796178,Current,3.339239483,14.36736141,0.751632143,0.169027781,85,Fungi-Root endosphere
B,22,Festuca,1,1300,22.93982783,33.77707006,Current,2.093788715,4.358288514,0.667769918,0.189490805,23,Fungi-Root endosphere
B,24,Festuca,1,1000,22.8444974,25.6433121,Current,2.54300286,6.071460682,0.684786188,0.148084407,41,Fungi-Root endosphere
C,25,Festuca,1,900,12.05030961,17.91082803,Future,2.796001404,9.315808298,0.700930706,0.172514968,54,Fungi-Root endosphere
C,27,Festuca,1,1200,16.1399646,23.81210191,Future,2.163729624,3.551955895,0.558929804,0.073999081,48,Fungi-Root endosphere
C,29,Festuca,1,1500,20.00490316,25.98726115,Future,2.993923351,10.52191476,0.689239747,0.136648244,77,Fungi-Root endosphere
C,32,Festuca,1,0,6.075412762,8.671974522,Future,3.192821156,14.80724408,0.75151812,0.211532058,70,Fungi-Root endosphere
C,34,Festuca,1,300,9.730542183,14.22611465,Future,3.984666824,31.15403674,0.871020452,0.321175636,97,Fungi-Root endosphere
C,36,Festuca,1,600,11.20004467,19.16242038,Future,3.188768125,10.81204969,0.715877751,0.125721508,86,Fungi-Root endosphere
D,38,Festuca,1,900,8.64749066,10.54140127,Current,3.296064332,16.59724182,0.783901377,0.247720027,67,Fungi-Root endosphere
D,40,Festuca,1,1200,16.4291337,25.25796178,Current,3.374565446,14.81325913,0.784041452,0.200179177,74,Fungi-Root endosphere
D,42,Festuca,1,1500,14.2653867,22.66878981,Current,3.798327208,21.8305795,0.826600248,0.220510904,99,Fungi-Root endosphere
D,43,Festuca,1,0,9.670848949,11.34076433,Current,2.72207625,5.228596418,0.619435145,0.064550573,81,Fungi-Root endosphere
D,45,Festuca,1,300,7.840698598,9.436305732,Current,3.497254034,17.99358532,0.781101395,0.20447256,88,Fungi-Root endosphere
D,47,Festuca,1,600,9.611113439,14.60828025,Current,3.76087954,25.05896097,0.818450805,0.253120818,99,Fungi-Root endosphere
A,1,Lolium,1,700,7.849728307,11.10828025,Future,3.145696283,11.81461202,0.768302773,0.1969102,60,Fungi-Root endosphere
A,3,Lolium,1,1600,9.530503233,12.95541401,Future,3.394032313,16.39575559,0.816092265,0.256183681,64,Fungi-Root endosphere
A,5,Lolium,1,0,7.074982364,10.85987261,Future,3.536923885,14.9462251,0.761547415,0.143713703,104,Fungi-Root endosphere
A,8,Lolium,1,400,7.1942959,9.640127389,Future,3.007912859,7.823767942,0.670117294,0.087907505,89,Fungi-Root endosphere
A,10,Lolium,1,1300,10.04681671,12.78025478,Future,2.776301196,7.992328935,0.699268783,0.150798659,53,Fungi-Root endosphere
A,12,Lolium,1,1000,8.557844691,13.75796178,Future,2.490359442,4.812569287,0.578606361,0.06503472,74,Fungi-Root endosphere
B,14,Lolium,1,700,8.956181566,13.78025478,Current,3.369628958,12.00757351,0.756480969,0.139622948,86,Fungi-Root endosphere
B,16,Lolium,1,1600,11.26601723,18.4522293,Current,3.168138188,12.7775325,0.73154774,0.168125428,76,Fungi-Root endosphere
B,18,Lolium,1,0,10.63711655,14.6433121,Current,2.395619276,3.692477495,0.565790982,0.053514167,69,Fungi-Root endosphere
B,19,Lolium,1,400,8.414476414,10.98089172,Current,3.280871039,14.01506591,0.818716809,0.25481938,55,Fungi-Root endosphere
B,21,Lolium,1,1300,11.25777605,18.44267516,Current,3.663844962,19.90273988,0.790519785,0.193230484,103,Fungi-Root endosphere
