Plot,Mesocosm,Species,Replicate,Moisture,GWC,VWC,Climate,Shannon,Inv_Simpson,Pielou_evenness,Simpson_evenness,Richness,Compartment
A,2,Festuca,1,700,7.025081906,8.331210191,Future,3.919204251,16.71250518,0.782177113,0.111416701,150,Fungi-Rhizosphere
A,4,Festuca,1,1600,11.53846154,19.66242038,Future,3.387643627,12.58613405,0.726426047,0.118737114,106,Fungi-Rhizosphere
A,6,Festuca,1,0,8.468854123,12.22292994,Future,3.799877917,29.30129101,0.85992645,0.353027603,83,Fungi-Rhizosphere
A,7,Festuca,1,400,7.855652387,10.1910828,Future,3.450462071,11.99524115,0.719477224,0.099134224,121,Fungi-Rhizosphere
A,9,Festuca,1,1300,11.77822905,19.57961783,Future,3.613068156,17.36167958,0.760071443,0.149669652,116,Fungi-Rhizosphere
A,11,Festuca,1,1000,8.066911251,11.76433121,Future,3.027529144,6.251496435,0.636893174,0.053892211,116,Fungi-Rhizosphere
B,13,Festuca,1,700,9.796478304,16.60191083,Current,4.395033214,41.01768111,0.841034495,0.220525167,186,Fungi-Rhizosphere
B,15,Festuca,1,1600,14.84019674,22.96496815,Current,4.124397277,29.7958627,0.82533962,0.201323397,148,Fungi-Rhizosphere
B,17,Festuca,1,0,8.008504607,12.5955414,Current,3.819255096,15.66114048,0.775128569,0.113486525,138,Fungi-Rhizosphere
B,20,Festuca,1,400,7.119490739,10.25796178,Current,3.680547212,14.01652186,0.736520086,0.094706229,148,Fungi-Rhizosphere
B,22,Festuca,1,1300,22.93982783,33.77707006,Current,3.383056805,20.1726818,0.888719926,0.448281818,45,Fungi-Rhizosphere
B,24,Festuca,1,1000,22.8444974,25.6433121,Current,3.937785077,31.34006815,0.868769694,0.33698998,93,Fungi-Rhizosphere
C,25,Festuca,1,900,12.05030961,17.91082803,Future,3.751388446,25.30225375,0.823779065,0.266339513,95,Fungi-Rhizosphere
C,27,Festuca,1,1200,16.1399646,23.81210191,Future,4.252366763,35.170591,0.839957914,0.222598677,158,Fungi-Rhizosphere
C,29,Festuca,1,1500,20.00490316,25.98726115,Future,4.330372547,32.7577632,0.838441819,0.187187218,175,Fungi-Rhizosphere
C,32,Festuca,1,0,6.075412762,8.671974522,Future,4.025770981,25.45828882,0.806697798,0.173185638,147,Fungi-Rhizosphere
C,34,Festuca,1,300,9.730542183,14.22611465,Future,4.060396655,32.54425822,0.832868166,0.248429452,131,Fungi-Rhizosphere
C,36,Festuca,1,600,11.20004467,19.16242038,Future,3.799775374,20.52811276,0.785681118,0.16292153,126,Fungi-Rhizosphere
D,38,Festuca,1,900,8.64749066,10.54140127,Current,4.01624388,24.82659343,0.810408401,0.174835165,142,Fungi-Rhizosphere
D,40,Festuca,1,1200,16.4291337,25.25796178,Current,4.277784574,45.89355742,0.880236564,0.355764011,129,Fungi-Rhizosphere
D,42,Festuca,1,1500,14.2653867,22.66878981,Current,4.376299696,32.81311804,0.847334181,0.187503532,175,Fungi-Rhizosphere
D,43,Festuca,1,0,9.670848949,11.34076433,Current,4.449521429,39.38165703,0.841394998,0.198897258,198,Fungi-Rhizosphere
D,45,Festuca,1,300,7.840698598,9.436305732,Current,3.827317532,19.80687571,0.777913083,0.144575735,137,Fungi-Rhizosphere
D,47,Festuca,1,600,9.611113439,14.60828025,Current,4.419986772,49.82778939,0.861612873,0.29483899,169,Fungi-Rhizosphere
A,1,Lolium,1,700,7.849728307,11.10828025,Future,3.716131637,19.33144058,0.796865052,0.182372081,106,Fungi-Rhizosphere
A,3,Lolium,1,1600,9.530503233,12.95541401,Future,4.186005452,29.93365687,0.822786474,0.18477566,162,Fungi-Rhizosphere
A,5,Lolium,1,0,7.074982364,10.85987261,Future,4.010467853,20.5772597,0.79620917,0.13361857,154,Fungi-Rhizosphere
A,8,Lolium,1,400,7.1942959,9.640127389,Future,3.960451466,21.60586829,0.781323005,0.135885964,159,Fungi-Rhizosphere
A,10,Lolium,1,1300,10.04681671,12.78025478,Future,4.01802459,21.79266772,0.80514555,0.14824944,147,Fungi-Rhizosphere
A,12,Lolium,1,1000,8.557844691,13.75796178,Future,4.404429806,33.49227035,0.832868269,0.169152881,198,Fungi-Rhizosphere
B,14,Lolium,1,700,8.956181566,13.78025478,Current,4.109732654,20.79435212,0.802061191,0.123775905,168,Fungi-Rhizosphere
B,16,Lolium,1,1600,11.26601723,18.4522293,Current,3.931996796,20.16802585,0.775709431,0.12684293,159,Fungi-Rhizosphere
B,18,Lolium,1,0,10.63711655,14.6433121,Current,4.274225466,32.1254902,0.84115043,0.199537206,161,Fungi-Rhizosphere
B,19,Lolium,1,400,8.414476414,10.98089172,Current,3.665912162,18.48818676,0.825163163,0.217508079,85,Fungi-Rhizosphere
B,21,Lolium,1,1300,11.25777605,18.44267516,Current,3.776466312,11.52331971,0.745954651,0.072932403,158,Fungi-Rhizosphere
B,23,Lolium,1,1000,9.438405416,14.29617834,Current,4.102673229,26.24458127,0.811406998,0.167162938,157,Fungi-Rhizosphere
C,26,Lolium,1,900,9.317005933,14.85350318,Future,4.367072661,33.88186636,0.834827372,0.181186451,187,Fungi-Rhizosphere
C,28,Lolium,1,1200,11.69067475,17.18789809,Future,3.910057264,23.38796449,0.782447703,0.158026787,148,Fungi-Rhizosphere
C,30,Lolium,1,1500,11.4048657,20.66242038,Future,4.140015423,29.67443966,0.818792357,0.18900917,157,Fungi-Rhizosphere
C,31,Lolium,1,0,7.638292309,13.02547771,Future,2.974311537,7.413679492,0.627995547,0.065032276,114,Fungi-Rhizosphere
C,33,Lolium,1,300,8.430723502,11.92356688,Future,3.300338979,9.837470682,0.684677634,0.079334441,124,Fungi-Rhizosphere
C,35,Lolium,1,600,10.05391196,14.37261146,Future,4.333328949,46.09530508,0.865982304,0.309364464,149,Fungi-Rhizosphere
D,37,Lolium,1,900,8.583899127,15.78343949,Current,3.755555715,15.64011694,0.800528081,0.143487311,109,Fungi-Rhizosphere
D,39,Lolium,1,1200,8.280185534,7.277070064,Current,3.983962968,27.43239849,0.827890761,0.22302763,123,Fungi-Rhizosphere
D,41,Lolium,1,1500,11.75979304,18.38535032,Current,4.100488166,26.68403909,0.817273164,0.176715491,151,Fungi-Rhizosphere
D,44,Lolium,1,0,7.174925175,8.24522293,Current,4.431773909,40.40443896,0.841285732,0.208270304,194,Fungi-Rhizosphere
D,46,Lolium,1,300,20.60101642,17.81528662,Current,4.508017559,46.38075018,0.853273466,0.23543528,197,Fungi-Rhizosphere
D,48,Lolium,1,600,11.55219601,14.11464968,Current,3.881724795,14.28188504,0.760236241,0.086556879,165,Fungi-Rhizosphere
A,2,Festuca,2,700,7.025081906,8.331210191,Future,2.984916869,8.954075795,0.670113188,0.10411716,86,Fungi-Rhizosphere
A,4,Festuca,2,1600,11.53846154,19.66242038,Future,4.248989345,35.6609985,0.840344696,0.227140118,157,Fungi-Rhizosphere
