Species,Climate,Plot,Mesocosm,Moisture,GWC,PC1_Bac_Root,PC1_Bac_Rhizo,PC1_Fun_Leaf,PC1_Fun_Root,PC1_Fun_Rhizo,PC2_Bac_Root,PC2_Bac_Rhizo,PC2_Fun_Leaf,PC2_Fun_Root,PC2_Fun_Rhizo
Festuca,Future,A,2,700,7.025081906,-0.051938279,-0.278038218,0.234839529,-0.021162049,-0.046405453,-0.341281805,0.390230524,-0.174913396,0.016187328,0.122330065
Festuca,Future,A,4,1600,11.53846154,-0.014500942,-0.038745946,0.224386683,0.503973302,-0.044060282,0.303024954,0.37374279,0.279899966,-0.014004142,0.214032933
Festuca,Future,A,6,0,8.468854123,0.261163783,0.04623284,0.264382391,-0.160696984,0.051290096,0.261004315,-0.217995058,-0.858244993,-0.320671183,-0.004434533
Festuca,Future,A,7,400,7.855652387,0.120044646,0.286193692,0.26760935,-0.050300604,0.225776658,0.248038552,0.000405001,0.039345485,-0.210396546,0.11887171
Festuca,Future,A,9,1300,11.77822905,0.214883257,0.382132314,0.286326739,0.274157243,0.492697222,-0.226461765,-0.080144307,-0.864063884,0.562386608,0.406415978
Festuca,Future,A,11,1000,8.066911251,-0.177015403,0.18192522,0.245285053,0.38387131,0.608384775,-0.186729487,-0.261601658,-0.225859066,0.699689824,0.780278421
Festuca,Current,B,13,700,9.796478304,-0.031716227,-0.123469329,0.28914248,0.131985726,0.198632634,0.363163634,-0.08393652,0.071242262,-0.122194107,-0.125180455
Festuca,Current,B,15,1600,14.84019674,-0.053808154,-0.215438365,0.277951423,0.471437132,0.211576163,-0.192109595,-0.335926252,-0.165549367,-0.096043297,-0.453890943
Festuca,Current,B,17,0,8.008504607,-0.184626385,-0.020392917,NA,0.157884177,0.088766472,0.267248219,0.060178791,NA,-0.16035798,0.091378585
Festuca,Current,B,20,400,7.119490739,0.005869272,0.124281193,0.231117133,0.473925257,-0.032257361,0.325855091,0.177049797,-0.032276817,-0.172427153,-0.162339032
Festuca,Current,B,22,1300,22.93982783,-0.174442177,-0.241406989,0.201631369,0.274983475,0.573413667,-0.064218647,-0.278823089,0.062875933,0.80669512,0.476129507
Festuca,Current,B,24,1000,22.8444974,-0.5192485,-0.591529882,0.257444435,0.332339184,0.237454745,-0.428643748,-0.248862066,-0.063072391,0.013856829,0.046372866
Festuca,Future,C,25,900,12.05030961,0.373112686,0.298727576,0.203739952,-0.030558899,0.252949243,0.044144802,-0.21460418,-0.007221958,-0.519188709,-0.630209457
Festuca,Future,C,27,1200,16.1399646,0.147053906,0.12896889,0.243906032,0.198317324,0.082289886,0.280360189,0.074253661,0.031272575,-0.298009993,-0.278059684
Festuca,Future,C,29,1500,20.00490316,-0.031273593,-0.051419189,0.260868315,0.110171924,0.299610215,0.10732545,-0.163867782,0.016414769,-0.382757274,-0.397272591
Festuca,Future,C,32,0,6.075412762,0.153256627,0.068094313,0.278537855,0.127270694,0.136584693,0.276922451,-0.162270078,0.07507577,-0.36251641,-0.517719129
Festuca,Future,C,34,300,9.730542183,0.35908511,0.374446738,0.253382368,0.192195483,0.3607308,-0.138741705,-0.153211855,0.06103021,-0.123369497,-0.061475961
Festuca,Future,C,36,600,11.20004467,0.118787577,0.034939347,0.223771492,0.485361723,0.090216211,-0.020686391,-0.161925725,0.005652992,-0.071566043,-0.13036022
Festuca,Current,D,38,900,8.64749066,0.221592315,0.164501673,0.252843434,0.064009066,0.554677589,0.249868946,-0.030499116,0.047096819,-0.19501682,-0.17175885
Festuca,Current,D,40,1200,16.4291337,0.229296348,-0.219425093,0.27843037,0.403437347,0.277573266,-0.361470761,-0.275004457,0.019411097,-0.012903596,-0.350464955
Festuca,Current,D,42,1500,14.2653867,-0.080290714,-0.194182043,0.278152451,0.252330792,0.322173657,-0.088681287,-0.291797429,-0.100904765,-0.299106482,-0.057448418
