,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
A02D1L,0.223519341,-0.011916029,0.318059815,-0.30956961,0.545497447,-0.088708739,Future,Festuca,700,M3
A02D2L,0.236807708,-0.154999796,0.124575682,-0.141772974,-0.266691941,-0.666671281,Future,Festuca,700,M3
A04D1L,0.302635002,-0.227318081,0.071025389,-0.078287735,0.029259459,-0.2387058,Future,Festuca,1600,M6
A04D2L,-0.181261917,0.034915573,0.162785959,-0.115664595,0.036415796,-0.266416175,Future,Festuca,1600,M6
A06D2L,-0.250774471,0.106747998,0.298836256,-0.391699,0.596842615,-0.381053528,Future,Festuca,0,M1
A07D1L,0.651268331,-0.141736795,0.244664416,-0.10111046,0.197434819,0.260884917,Future,Festuca,400,M2
A07D2L,-0.201080076,0.057752274,0.149427624,-0.061566209,0.055334992,-0.023841809,Future,Festuca,400,M2
A09D1L,-0.174482486,0.244180732,0.502032365,1.074853601,-0.465083989,0.007980114,Future,Festuca,1300,M5
A09D2L,0.38481666,0.444449089,-0.26744877,-0.036626667,0.213065565,0.092328334,Future,Festuca,1300,M5
A11D1L,-0.058135285,0.882657656,-0.688287676,0.062453973,0.103685883,-0.083456121,Future,Festuca,1000,M4
A11D2L,0.217800785,0.041465631,0.415192336,0.718284147,-0.466977198,-0.282318589,Future,Festuca,1000,M4
B13D2L,-0.220177804,0.222530209,0.506988444,0.873113538,-0.340140681,-0.002451218,Current,Festuca,700,M3
B15D1L,0.365782529,0.398080718,-0.213662675,-0.043933057,0.217423488,0.129529775,Current,Festuca,1600,M6
B15D2L,-0.200563527,0.07502043,0.221378712,0.006455319,-0.009488572,-0.147921871,Current,Festuca,1600,M6
B17D1L,-0.255692691,0.122735519,0.335262317,0.205231418,-0.012613829,-0.027938317,Current,Festuca,0,M1
B17D2L,0.546978405,-0.360461219,0.03407593,-0.022890901,0.150468607,0.169435722,Current,Festuca,0,M1
B22D1L,0.512086651,-0.46879939,-0.054229713,0.029409551,0.159155466,0.176851094,Current,Festuca,1300,M5
B22D2L,-0.150092228,-0.320097664,-0.140338755,-0.089609401,-0.436746705,-1.048099465,Current,Festuca,1300,M5
B24D1L,0.28287649,0.023048116,-0.465278597,-0.002957883,-0.069540365,-0.068265345,Current,Festuca,1000,M4
B24D2L,-0.235076307,0.047072098,0.164389489,-0.049505914,0.115543659,0.047724778,Current,Festuca,1000,M4
C25D1L,0.295747052,0.653945312,-0.207205787,0.630887341,-0.131972007,0.078767755,Future,Festuca,900,M4
C25D2L,0.417783182,0.031262757,0.434232001,0.530791468,-0.0976315,0.216480088,Future,Festuca,900,M4
C27D1L,0.591356703,-0.126293689,0.248939491,-0.107307061,0.199632164,0.237209297,Future,Festuca,1200,M5
C27D2L,0.261123997,0.266515605,-0.282449839,-0.082287194,-0.189996081,-0.650778104,Future,Festuca,1200,M5
