,PC1,PC2,PC3,PC4,PC5,PC6,Climate,Species,Moisture,Levels
A02D1R,-0.051938279,-0.341281805,-0.139626552,0.447920897,-0.066931762,0.084102671,Future,Festuca,700,M3
A02D2R,-0.406474622,0.365851238,-0.218583681,0.102191047,0.068147903,-0.568880059,Future,Festuca,700,M3
A04D1R,-0.014500942,0.303024954,0.085957646,-0.309509651,0.368463765,-0.36906372,Future,Festuca,1600,M6
A04D2R,0.064311538,-0.236305027,-0.024753247,0.291558383,0.410750291,-0.42897359,Future,Festuca,1600,M6
A06D1R,0.261163783,0.261004315,0.33077741,0.139022339,0.139713447,0.335792519,Future,Festuca,0,M1
A06D2R,-0.062282274,0.07786506,0.218464499,0.280571976,0.043370254,0.205282479,Future,Festuca,0,M1
A07D1R,0.120044646,0.248038552,-0.027790052,0.146244139,0.231705589,0.486011689,Future,Festuca,400,M2
A07D2R,-0.388251275,-0.232255568,-0.085981997,0.306244465,0.028326325,-0.171232372,Future,Festuca,400,M2
A09D1R,0.214883257,-0.226461765,-0.09916854,0.018231129,0.397051768,-0.26315133,Future,Festuca,1300,M5
A09D2R,-0.099565449,-0.036478987,-0.154389423,-0.397940045,0.208776265,-0.150137685,Future,Festuca,1300,M5
A11D1R,-0.177015403,-0.186729487,-0.633868828,0.415096615,0.122558494,0.028914059,Future,Festuca,1000,M4
A11D2R,-0.316178986,-0.103380383,-0.731027082,0.331819545,0.162287015,-0.080570328,Future,Festuca,1000,M4
B13D1R,-0.031716227,0.363163634,0.252599162,0.145152737,0.24237725,-0.06008932,Current,Festuca,700,M3
B13D2R,-0.144458178,0.103008555,-0.074635818,0.56251141,0.027696515,-0.024765889,Current,Festuca,700,M3
B15D1R,-0.053808154,-0.192109595,0.281315303,-0.062934812,0.543557366,0.081994804,Current,Festuca,1600,M6
B15D2R,0.431303808,-0.392752419,0.108812786,0.098722105,0.161878467,-0.268026806,Current,Festuca,1600,M6
B17D1R,-0.184626385,0.267248219,-0.473970886,0.257566963,0.08669767,0.243490206,Current,Festuca,0,M1
B17D2R,-0.337038521,0.200974908,-0.095869485,0.377287614,0.036931919,0.02096615,Current,Festuca,0,M1
B20D1R,0.005869272,0.325855091,0.18128415,0.202946601,0.06060052,0.299911134,Current,Festuca,400,M2
B20D2R,-0.006100737,-0.142252678,-0.419986082,0.674530637,-0.14420213,0.275252678,Current,Festuca,400,M2
B22D1R,-0.174442177,-0.064218647,0.380209961,-0.017477241,0.207604974,-0.198589593,Current,Festuca,1300,M5
B22D2R,-0.033474095,-0.095531613,-0.046705879,0.088950723,0.547374146,-0.112660954,Current,Festuca,1300,M5
B24D1R,-0.5192485,-0.428643748,0.041624019,-0.177170404,0.191364902,0.20709348,Current,Festuca,1000,M4
B24D2R,0.202698608,-0.086353547,0.106823159,0.079994198,0.299406207,-0.389304932,Current,Festuca,1000,M4
C25D1R,0.373112686,0.044144802,0.292889353,-0.062366368,0.332648887,0.11893589,Future,Festuca,900,M4
C25D2R,0.171410017,0.195965654,-0.239170666,-0.381820001,0.572121626,0.254505474,Future,Festuca,900,M4
C27D1R,0.147053906,0.280360189,0.014598053,-0.244845719,0.429164423,-0.047419302,Future,Festuca,1200,M5
C27D2R,0.239553742,-0.102933353,-0.211666865,-0.127552507,0.626720771,-0.028511946,Future,Festuca,1200,M5
C29D1R,-0.031273593,0.10732545,0.238378391,0.030810882,0.553305446,0.180612051,Future,Festuca,1500,M6
C29D2R,-0.163803241,-0.154071691,0.0868309,0.254980684,0.426222558,-0.111832243,Future,Festuca,1500,M6
C32D1R,0.153256627,0.276922451,0.185629925,0.067044223,0.241296292,0.399695581,Future,Festuca,0,M1
C32D2R,0.462906638,-0.03078776,0.101278972,-0.069240548,-0.035162089,0.153535409,Future,Festuca,0,M1
C34D1R,0.35908511,-0.138741705,-0.335351194,0.074657277,0.150808392,-0.019212203,Future,Festuca,300,M2
C34D2R,0.238064238,0.402829592,0.158523955,-0.203580207,0.201067156,0.349314933,Future,Festuca,300,M2
C36D1R,0.118787577,-0.020686391,0.13613477,-0.125377913,0.308400984,-0.209292548,Future,Festuca,600,M3
C36D2R,0.469206889,-0.162984223,-0.255522315,-0.182211746,0.162052886,-0.077876629,Future,Festuca,600,M3
D38D1R,0.221592315,0.249868946,0.509094164,0.051145526,0.138493504,-0.036562915,Current,Festuca,900,M4
D38D2R,-0.280230799,0.51545736,0.232057911,0.095816465,0.13191466,-0.159031784,Current,Festuca,900,M4
D40D1R,0.229296348,-0.361470761,0.031543838,0.43510315,-0.008469907,-0.200730132,Current,Festuca,1200,M5
D40D2R,-0.504751909,-0.396634289,0.222258996,0.03219284,0.071959614,0.084281823,Current,Festuca,1200,M5
