,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
A02D1S,-0.278038218,0.390230524,0.190178137,0.074604604,-0.334178818,0.33339223,Future,Festuca,700,M3
A02D2S,-0.168145509,0.00096307,-0.53870664,0.177448452,-0.726187795,-0.108702824,Future,Festuca,700,M3
A04D1S,-0.038745946,0.37374279,0.109062659,0.164053253,-0.190977422,-0.17645372,Future,Festuca,1600,M6
A04D2S,0.135662301,-0.193382671,0.14702297,-0.041807888,-0.219660277,0.075648093,Future,Festuca,1600,M6
A06D1S,0.04623284,-0.217995058,0.178397057,-0.449535446,-0.642301396,-0.268259453,Future,Festuca,0,M1
A06D2S,-0.09812664,-0.006051082,0.028595178,-0.410402559,-0.537044503,0.027564249,Future,Festuca,0,M1
A07D1S,0.286193692,0.000405001,0.08198729,-0.312558723,-0.227170746,0.291604773,Future,Festuca,400,M2
A07D2S,-0.464008741,-0.277847138,-0.218825743,0.170175675,-0.216089674,0.40950152,Future,Festuca,400,M2
A09D1S,0.382132314,-0.080144307,0.019921101,0.446298551,0.017956565,0.232856251,Future,Festuca,1300,M5
A09D2S,-0.438109783,-0.246426082,0.115725327,0.040218727,0.10343941,0.369044345,Future,Festuca,1300,M5
A11D1S,0.18192522,-0.261601658,0.093234933,0.447085813,-0.083616546,-0.485670264,Future,Festuca,1000,M4
A11D2S,0.131183095,-0.270239506,0.055743438,0.393773843,-0.328838891,0.092488588,Future,Festuca,1000,M4
B13D1S,-0.123469329,-0.08393652,0.554852729,-0.042583276,-0.218337697,0.165809917,Current,Festuca,700,M3
B13D2S,-0.11581483,0.039334478,0.36428296,0.125855452,-0.136677985,-0.248488989,Current,Festuca,700,M3
B15D1S,-0.215438365,-0.335926252,0.121852736,0.249155996,0.011014279,0.164354067,Current,Festuca,1600,M6
B15D2S,0.03627587,-0.378154602,0.221430662,0.522932387,-0.019725727,-0.170350359,Current,Festuca,1600,M6
B17D1S,-0.020392917,0.060178791,0.102413785,-0.497045317,-0.486531545,-0.126339193,Current,Festuca,0,M1
B17D2S,-0.219503003,-0.083612983,0.160528172,-0.504463594,-0.424227502,-0.251186869,Current,Festuca,0,M1
B20D1S,0.124281193,0.177049797,0.163651411,-0.369139983,-0.275332086,0.02928014,Current,Festuca,400,M2
