,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
A02D1L,0.234839529,-0.174913396,0.044310404,-0.007147634,0.06890527,-0.108618989,Future,Festuca,700,M3
A02D2L,0.27088437,-0.440839917,0.21334994,0.012288324,0.462370381,-1.143650105,Future,Festuca,700,M3
A04D1L,0.224386683,0.279899966,0.087811308,1.397068018,-0.171505042,0.063844926,Future,Festuca,1600,M6
A04D2L,0.273441529,-0.897034348,0.712602913,0.002147981,0.082518751,0.299120544,Future,Festuca,1600,M6
A06D1L,0.264382391,-0.858244993,0.699533988,0.014223086,0.125571519,0.306124363,Future,Festuca,0,M1
A06D2L,0.264710117,-0.645909312,0.48392357,-0.008341981,-0.041606697,0.222482182,Future,Festuca,0,M1
A07D1L,0.26760935,0.039345485,-0.490224106,-0.181594054,-0.050157155,0.110221842,Future,Festuca,400,M2
A07D2L,0.286376776,-0.784704214,0.548122407,-0.047857503,-0.070644519,0.325023691,Future,Festuca,400,M2
A09D1L,0.286326739,-0.864063884,0.647861136,-0.05676173,-0.210767297,0.253589719,Future,Festuca,1300,M5
A09D2L,0.283565195,-0.694228346,0.391391061,-0.093261402,-0.013387608,0.297443881,Future,Festuca,1300,M5
A11D1L,0.245285053,-0.225859066,0.072630201,0.037000826,0.486910979,-1.371537791,Future,Festuca,1000,M4
A11D2L,0.233135957,-0.105668624,-0.014535499,0.040861358,0.449912138,-1.435805727,Future,Festuca,1000,M4
B13D1L,0.28914248,0.071242262,-0.644711176,-0.249692389,-0.052628747,0.379761232,Current,Festuca,700,M3
B13D2L,0.288065394,0.062419097,-0.652726354,-0.2244245,0.172404944,0.368550515,Current,Festuca,700,M3
B15D1L,0.277951423,-0.165549367,-0.148782547,-0.16244263,-0.506827208,0.006241515,Current,Festuca,1600,M6
B15D2L,0.272776458,-0.699185139,0.504295443,-0.018765682,0.063433681,0.322508399,Current,Festuca,1600,M6
B17D2L,0.21555918,-0.086764896,0.077435092,0.039322021,0.020482873,0.072992818,Current,Festuca,0,M1
B20D1L,0.231117133,-0.032276817,-0.110045971,-0.027031358,0.005823485,0.078410157,Current,Festuca,400,M2
B20D2L,0.236400243,0.090300022,-0.281380412,-0.013543467,0.345759555,0.314373157,Current,Festuca,400,M2
B22D1L,0.201631369,0.062875933,-0.030237534,0.044768439,0.109881197,0.031365379,Current,Festuca,1300,M5
B22D2L,0.218338133,0.03635157,-0.126714797,0.027828354,0.358541704,-0.208857354,Current,Festuca,1300,M5
B24D1L,0.257444435,-0.063072391,-0.0794771,-0.104262001,-0.520789221,-0.11890598,Current,Festuca,1000,M4
B24D2L,0.270121909,-0.072510706,-0.262641435,-0.059262852,0.427528739,-1.170803458,Current,Festuca,1000,M4
C25D1L,0.203739952,-0.007221958,0.013798421,0.049296712,0.123416981,-0.037104171,Future,Festuca,900,M4
C25D2L,0.204644334,0.057908363,-0.068987882,0.044110416,0.201680823,0.06749447,Future,Festuca,900,M4
C27D1L,0.243906032,0.031272575,-0.277668622,-0.059245021,0.155305659,0.067137418,Future,Festuca,1200,M5
C27D2L,0.242873762,0.038481507,-0.260534233,-0.02888039,0.352713981,0.249572092,Future,Festuca,1200,M5
C29D1L,0.260868315,0.016414769,-0.332847448,-0.060097177,0.448506079,0.033325169,Future,Festuca,1500,M6
C29D2L,0.253224337,0.00802926,-0.260756334,-0.049395307,0.302902136,0.13888161,Future,Festuca,1500,M6
C32D1L,0.278537855,0.07507577,-0.572929627,-0.146558563,0.445246936,0.438240792,Future,Festuca,0,M1
C32D2L,0.257341812,0.037975796,-0.33480155,-0.041856661,0.598603176,0.165366663,Future,Festuca,0,M1
C34D1L,0.253382368,0.06103021,-0.376612593,-0.052098348,0.540051915,0.410711823,Future,Festuca,300,M2
C34D2L,0.236611108,0.096011832,-0.356913769,-0.038611642,0.507773997,0.446068037,Future,Festuca,300,M2
C36D1L,0.223771492,0.005652992,-0.102046511,0.008906819,0.14795865,-0.065136505,Future,Festuca,600,M3
C36D2L,0.222756593,0.042245319,-0.216339706,-0.041077009,0.151608109,0.263580756,Future,Festuca,600,M3
D38D1L,0.252843434,0.047096819,-0.372934121,-0.110198176,0.040560558,0.008974601,Current,Festuca,900,M4
D38D2L,0.224888681,0.047994546,-0.293649695,-0.075231951,0.119888614,0.155368374,Current,Festuca,900,M4
D40D1L,0.27843037,0.019411097,-0.263501364,-0.249184664,-1.084996636,-0.182933392,Current,Festuca,1200,M5
D40D2L,0.215487573,0.070780868,-0.125761455,0.025237761,0.135458763,0.138865921,Current,Festuca,1200,M5
D42D1L,0.278152451,-0.100904765,-0.0858299,-0.180305431,-0.962204151,-0.148873501,Current,Festuca,1500,M6
D42D2L,0.269537403,0.01485681,-0.230287819,-0.209575135,-0.94107923,-0.318200861,Current,Festuca,1500,M6
D43D1L,0.228986471,0.020418513,-0.097227673,0.014193593,0.155394684,0.130525191,Current,Festuca,0,M1
D43D2L,0.270702562,0.07739438,-0.454493261,-0.223508243,-0.438457674,0.090584143,Current,Festuca,0,M1
D45D1L,0.244414729,0.038826424,-0.243773837,-0.031458976,0.284408251,0.318605413,Current,Festuca,300,M2
D45D2L,0.288680746,0.041547398,-0.513941275,-0.26776359,-0.60516501,-0.06384981,Current,Festuca,300,M2
D47D1L,0.262655001,-0.009881843,-0.145932181,-0.174775417,-0.952073491,-0.305506561,Current,Festuca,600,M3
D47D2L,0.258345551,0.002841992,-0.204563251,-0.181533805,-0.804738271,-0.289988608,Current,Festuca,600,M3
A01W1L,0.200436032,0.306176584,0.110320513,1.380215218,-0.1733307,0.067597913,Future,Lolium,700,M3
A01W2L,-0.427524414,-0.001973589,-0.001891212,0.006793735,-0.030909779,0.005752232,Future,Lolium,700,M3
A03W1L,-0.422228084,-0.013309075,-0.008918346,0.012826641,-0.009537987,0.009048191,Future,Lolium,1600,M6
A03W2L,-0.447126925,-0.006056381,0.007820355,-0.005704054,-0.026255675,0.007000926,Future,Lolium,1600,M6
A05W1L,0.229329664,0.719087878,0.647907097,-0.323014274,0.091105338,0.045857382,Future,Lolium,0,M1
A05W2L,0.223993078,0.806771369,0.731694618,-0.360547757,0.123245613,0.053122151,Future,Lolium,0,M1
A08W1L,-0.380900254,-0.038364854,-0.022644702,0.010204216,-0.008213262,0.004237456,Future,Lolium,400,M2
A08W2L,-0.451775958,-0.053740262,-0.026435076,-0.046528886,-0.014131775,3.54E-06,Future,Lolium,400,M2
A10W1L,-0.442005333,-0.010545582,0.003473357,-0.011435992,-0.021433521,0.007485336,Future,Lolium,1300,M5
