,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
A02D1R,-0.021162049,0.016187328,-0.05693726,0.016341489,-0.043702562,0.240602727,Future,Festuca,700,M3
A02D2R,0.385278217,0.214316311,-0.147684055,-0.509592381,0.150399389,0.282318074,Future,Festuca,700,M3
A04D1R,0.503973302,-0.014004142,-0.225316336,0.115487514,-0.128987434,-0.066343243,Future,Festuca,1600,M6
A04D2R,0.090087281,-0.187844828,0.148673912,-0.152201969,-0.125641463,0.273462206,Future,Festuca,1600,M6
A06D1R,-0.160696984,-0.320671183,0.244822334,-0.078661043,0.160732443,0.267026204,Future,Festuca,0,M1
A06D2R,0.178337295,-0.181767845,0.368115901,0.036539826,0.076405327,0.187080225,Future,Festuca,0,M1
A07D1R,-0.050300604,-0.210396546,0.011835316,-0.369707213,0.037774259,-0.029151493,Future,Festuca,400,M2
A07D2R,0.53111594,0.280751099,0.27474019,-0.133290603,-0.424001573,-0.350181976,Future,Festuca,400,M2
A09D1R,0.274157243,0.562386608,-0.142244824,-0.037437597,0.621984577,0.686821961,Future,Festuca,1300,M5
A09D2R,0.37566647,-0.209470839,-0.980509295,0.36441613,0.246215148,-0.595730119,Future,Festuca,1300,M5
A11D1R,0.38387131,0.699689824,-0.200010895,-0.175041956,0.578941887,0.377630905,Future,Festuca,1000,M4
A11D2R,0.412122951,0.828618123,-0.032553655,-0.102933484,0.38995602,0.036332568,Future,Festuca,1000,M4
B13D1R,0.131985726,-0.122194107,0.527419213,0.284360117,0.045306351,-0.206993042,Current,Festuca,700,M3
B13D2R,0.091040444,0.060589225,0.31583114,-0.084749861,-0.389377999,-0.315349926,Current,Festuca,700,M3
B15D1R,0.471437132,-0.096043297,0.373394893,0.379479034,0.099849603,0.030005784,Current,Festuca,1600,M6
B15D2R,0.078470984,-0.448504581,0.273369215,0.402159252,0.081688097,0.434033576,Current,Festuca,1600,M6
B17D1R,0.157884177,-0.16035798,-0.155123125,-0.600445868,-0.192084768,0.170832725,Current,Festuca,0,M1
B17D2R,0.008631258,-0.094557176,-0.050472306,-0.262639675,-0.265257458,0.012111857,Current,Festuca,0,M1
B20D1R,0.473925257,-0.172427153,0.349254246,0.032666495,-0.191837113,0.15499018,Current,Festuca,400,M2
B20D2R,0.146934102,-0.066931871,0.058814645,-0.48057857,-0.143167777,0.164846104,Current,Festuca,400,M2
B22D1R,0.274983475,0.80669512,0.469161764,0.546725588,0.73231354,-0.022029055,Current,Festuca,1300,M5
B22D2R,0.036998318,-0.044322528,-0.171491989,-0.16193581,0.21359514,0.363340784,Current,Festuca,1300,M5
B24D1R,0.332339184,0.013856829,-0.216783654,-0.167560392,0.153655713,-0.291644715,Current,Festuca,1000,M4
B24D2R,-0.067286673,-0.254408241,0.333535658,0.138653824,0.34809539,0.094904971,Current,Festuca,1000,M4
C25D1R,-0.030558899,-0.519188709,0.062145654,0.398764839,0.300053843,0.291574813,Future,Festuca,900,M4
C25D2R,0.396054716,-0.241874859,-0.430909779,0.371920377,0.211524163,-0.204813058,Future,Festuca,900,M4
C27D1R,0.198317324,-0.298009993,-0.604520772,0.024894614,0.07662113,-0.113413332,Future,Festuca,1200,M5
C27D2R,0.339249187,-0.351608974,-0.259076887,0.193171433,0.095990016,0.124844601,Future,Festuca,1200,M5
C29D1R,0.110171924,-0.382757274,-0.101435061,0.064795191,0.132702114,0.318427513,Future,Festuca,1500,M6
C29D2R,0.220008133,-0.244055986,-0.029986994,-0.145141902,0.064112143,0.348231658,Future,Festuca,1500,M6
C32D1R,0.127270694,-0.36251641,-0.3021598,0.33634755,0.024026164,-0.04375499,Future,Festuca,0,M1
C32D2R,-0.062027342,-0.280205563,-0.002629105,0.414533148,0.138727152,0.26245731,Future,Festuca,0,M1
C34D1R,0.192195483,-0.123369497,-0.042927765,-0.269457202,-0.291952444,0.026602437,Future,Festuca,300,M2
C34D2R,0.296651058,-0.232711867,-0.209806126,-0.199102321,-0.020161563,0.116358735,Future,Festuca,300,M2
C36D1R,0.485361723,-0.071566043,0.183116433,0.067913541,-0.118732665,0.126313487,Future,Festuca,600,M3
C36D2R,0.379412255,0.002724627,0.16413245,0.386197533,-0.520060813,0.137902231,Future,Festuca,600,M3
D38D1R,0.064009066,-0.19501682,0.584115101,0.351738037,-0.049570848,-0.336425965,Current,Festuca,900,M4
D38D2R,0.168908671,-0.237193092,0.244206421,-0.12326093,-0.038644647,-0.126482038,Current,Festuca,900,M4
D40D1R,0.403437347,-0.012903596,0.541317904,0.373978407,-0.271040434,-0.420325808,Current,Festuca,1200,M5
D40D2R,0.385988998,-0.229412316,0.170529858,-0.215695625,-0.080187969,0.125198873,Current,Festuca,1200,M5
D42D1R,0.252330792,-0.299106482,0.182756249,-0.092162382,-0.02165006,0.363810736,Current,Festuca,1500,M6
D42D2R,0.520053384,-0.130339435,0.188028307,-0.083202797,-0.132321279,0.154567897,Current,Festuca,1500,M6
D43D1R,0.076745949,-0.087528072,0.147856402,-0.452095908,0.159317443,-0.001079168,Current,Festuca,0,M1
D43D2R,0.001301746,-0.235337536,0.148927822,-0.407266587,-0.076268121,0.196296173,Current,Festuca,0,M1
D45D1R,0.061795978,-0.240406211,0.18420712,-0.267141813,-0.071941636,0.267548483,Current,Festuca,300,M2
D45D2R,-0.291380357,-0.029127583,0.15806855,-0.446347146,-0.001195147,-0.305643483,Current,Festuca,300,M2
D47D1R,0.32647408,0.17344022,0.440595508,0.114466899,-0.380711866,-0.458251652,Current,Festuca,600,M3
D47D2R,0.5081112,0.118012353,0.310786441,-0.145379597,-0.447008754,-0.336221225,Current,Festuca,600,M3
A01W1R,-0.056802545,0.224868824,0.351023962,-0.46426983,0.216833698,-0.484132618,Future,Lolium,700,M3
A01W2R,-0.152054328,0.474190443,-0.02789821,-0.23819935,-0.009935462,0.056735598,Future,Lolium,700,M3
A03W1R,0.117629211,0.514473431,-0.175181592,-0.169322616,0.390316541,0.350745339,Future,Lolium,1600,M6
A03W2R,-0.265533806,0.462032694,-0.093730357,-0.223035779,-0.00348684,0.406658805,Future,Lolium,1600,M6
A05W1R,-0.393553063,0.475115247,-0.06643276,0.009753076,-0.235266055,0.059004825,Future,Lolium,0,M1
A05W2R,-0.573824659,0.206341253,-0.014990974,0.264241723,-0.344638812,-0.037374859,Future,Lolium,0,M1
