,PC1,PC2,PC3,PC4,PC5,PC6,Conditions,Species,Moisture,Levels
A02D1S,-0.046405453,0.122330065,-0.116785573,0.048887328,-0.473245696,0.131777976,Future,Festuca,700,M3
A02D2S,0.107397266,0.139615034,-0.015619529,-0.102559477,0.315034202,0.260987709,Future,Festuca,700,M3
A04D1S,-0.044060282,0.214032933,-0.058410028,-0.124896122,-0.614865886,-0.120167395,Future,Festuca,1600,M6
A04D2S,0.324977328,0.006884761,0.19470513,-0.262754434,-0.062483425,-0.539027888,Future,Festuca,1600,M6
A06D1S,0.051290096,-0.004434533,-0.106327027,-0.227633225,-0.405044748,-0.079485219,Future,Festuca,0,M1
A06D2S,0.063358397,0.147971634,-0.030426949,-0.229646413,-0.50643167,0.019255567,Future,Festuca,0,M1
A07D1S,0.225776658,0.11887171,-0.267616473,0.326224336,-0.549607274,-0.174075502,Future,Festuca,400,M2
A07D2S,0.282750912,0.166600511,0.173242788,-0.221768487,-0.191268143,0.217306328,Future,Festuca,400,M2
A09D1S,0.492697222,0.406415978,0.141834977,0.233288814,-0.114793936,-0.483970812,Future,Festuca,1300,M5
A09D2S,0.038840005,0.127982949,0.292182433,0.352422043,-0.405282423,-0.23649818,Future,Festuca,1300,M5
A11D1S,0.608384775,0.780278421,0.513621543,0.358267837,0.345796098,0.077930952,Future,Festuca,1000,M4
A11D2S,0.661871882,0.855769965,0.488117113,0.438554709,0.317953476,0.158680693,Future,Festuca,1000,M4
B13D1S,0.198632634,-0.125180455,-0.106159027,-0.302818423,0.089183171,0.002040346,Current,Festuca,700,M3
B13D2S,0.159214268,-0.172707133,-0.085676476,-0.342866146,0.144986656,0.050526649,Current,Festuca,700,M3
B15D1S,0.211576163,-0.453890943,-0.040613457,0.031688838,0.092244313,0.031769601,Current,Festuca,1600,M6
B15D2S,0.332907291,-0.430709495,-0.279070938,0.175076357,0.245219014,-0.031258462,Current,Festuca,1600,M6
B17D1S,0.088766472,0.091378585,0.033755702,-0.39559421,-0.185924338,-0.286117775,Current,Festuca,0,M1
B17D2S,0.032965104,0.010615395,-0.022264454,-0.298471213,-0.200200375,0.069138733,Current,Festuca,0,M1
B20D1S,-0.032257361,-0.162339032,-0.426017713,0.206342642,-0.314659398,-0.011383164,Current,Festuca,400,M2
B20D2S,0.018575487,-0.089766497,-0.470304995,0.202931346,-0.039532936,0.096302337,Current,Festuca,400,M2
B22D1S,0.573413667,0.476129507,0.347484461,0.100957398,0.288310327,0.472889773,Current,Festuca,1300,M5
B22D2S,0.294166205,-0.070936854,-0.138499842,0.030490657,0.003774196,-0.247115079,Current,Festuca,1300,M5
B24D1S,0.237454745,0.046372866,-0.299633098,-0.220245558,0.184165396,0.590671139,Current,Festuca,1000,M4
B24D2S,0.084451316,0.037839243,-0.609945912,0.168110367,0.154939095,-0.052093268,Current,Festuca,1000,M4
C25D1S,0.252949243,-0.630209457,0.080205218,0.333669233,0.080129769,0.093626016,Future,Festuca,900,M4
C25D2S,0.220241208,-0.236362825,0.030574262,0.376022547,-0.032604776,-0.112195545,Future,Festuca,900,M4
C27D1S,0.082289886,-0.278059684,0.040207714,0.147333446,-0.167351869,-0.107626853,Future,Festuca,1200,M5
C27D2S,0.226786809,-0.338015705,0.08131914,0.17546692,-0.099796708,-0.358373884,Future,Festuca,1200,M5
C29D1S,0.299610215,-0.397272591,0.150152958,-0.332733248,0.343942205,-0.338091828,Future,Festuca,1500,M6
C29D2S,0.17958673,-0.234297073,0.166180506,-0.372522377,-0.002729967,-0.167866568,Future,Festuca,1500,M6
C32D1S,0.136584693,-0.517719129,0.292238625,0.349308011,0.041364808,-0.204660384,Future,Festuca,0,M1
C32D2S,0.040245045,-0.404851789,0.117371802,0.505534386,-0.343169525,-0.179931115,Future,Festuca,0,M1
C34D1S,0.3607308,-0.061475961,-0.121363995,0.202584409,-0.244688504,-0.049236458,Future,Festuca,300,M2
C34D2S,1.58E-05,-0.104208657,-0.245494321,0.448897398,-0.358822271,0.188115956,Future,Festuca,300,M2
C36D1S,0.090216211,-0.13036022,0.093464223,-0.140213164,-0.330942358,-0.192368345,Future,Festuca,600,M3
C36D2S,0.40964878,-0.065261536,0.172405793,0.044408481,-0.459189022,-0.193588023,Future,Festuca,600,M3
D38D1S,0.554677589,-0.17175885,0.078078682,-0.110195297,-0.222674726,-0.182571634,Current,Festuca,900,M4
D38D2S,0.046894671,-0.101790831,0.125885221,-0.309989476,-0.212761799,0.181416861,Current,Festuca,900,M4
D40D1S,0.277573266,-0.350464955,-0.052584334,-0.180564314,0.00536461,0.467891743,Current,Festuca,1200,M5
D40D2S,0.440082423,-0.278797416,-0.123357206,-0.158103793,0.250647686,0.468492488,Current,Festuca,1200,M5
D42D1S,0.322173657,-0.057448418,-0.304446976,-0.122234981,0.084546722,-0.018800987,Current,Festuca,1500,M6
D42D2S,0.345437759,-0.171231325,-0.237829255,-0.221097754,-0.117522366,-0.08181481,Current,Festuca,1500,M6
