"Domain","RankLevel","MoistureLevel","Compartment","Species","Climate","Taxon","mean_RA","se_RA"
"Bacteria","Order","M1","Leaf","Festuca","Current","Micrococcales",0.81849253462853,0.421588114598236
"Bacteria","Order","M1","Leaf","Festuca","Current","Burkholderiales",0.179888469149128,0.179888469149128
"Bacteria","Order","M1","Leaf","Festuca","Current","Other",0.00161899622234213,0.000879783214378201
"Bacteria","Order","M1","Leaf","Festuca","Current","Gaiellales",0,0
"Bacteria","Order","M1","Leaf","Festuca","Current","Propionibacteriales",0,0
"Bacteria","Order","M1","Leaf","Festuca","Current","Rhizobiales",0,0
"Bacteria","Order","M1","Leaf","Festuca","Future","Rhizobiales",0.602772754671489,0.602772754671489
"Bacteria","Order","M1","Leaf","Festuca","Future","Micrococcales",0.391802290536468,0.391802290536468
"Bacteria","Order","M1","Leaf","Festuca","Future","Other",0.00542495479204335,0.00357515416511655
"Bacteria","Order","M1","Leaf","Festuca","Future","Burkholderiales",0,0
"Bacteria","Order","M1","Leaf","Festuca","Future","Gaiellales",0,0
"Bacteria","Order","M1","Leaf","Festuca","Future","Propionibacteriales",0,0
"Bacteria","Order","M1","Leaf","Lolium","Current","Micrococcales",0.677789709528166,0.400720834983362
"Bacteria","Order","M1","Leaf","Lolium","Current","Rhizobiales",0.232006257540203,0.118254005587448
"Bacteria","Order","M1","Leaf","Lolium","Current","Gaiellales",0.086173752800647,0.086173752800647
"Bacteria","Order","M1","Leaf","Lolium","Current","Other",0.00403028013098414,0.0027993024153009
"Bacteria","Order","M1","Leaf","Lolium","Current","Burkholderiales",0,0
"Bacteria","Order","M1","Leaf","Lolium","Current","Propionibacteriales",0,0
"Bacteria","Order","M1","Leaf","Lolium","Future","Micrococcales",0.635616830617063,0.635616830617063
"Bacteria","Order","M1","Leaf","Lolium","Future","Gaiellales",0.360336624149528,0.360336624149528
"Bacteria","Order","M1","Leaf","Lolium","Future","Other",0.0040465452334088,0.0029478641826475
"Bacteria","Order","M1","Leaf","Lolium","Future","Burkholderiales",0,0
"Bacteria","Order","M1","Leaf","Lolium","Future","Propionibacteriales",0,0
"Bacteria","Order","M1","Leaf","Lolium","Future","Rhizobiales",0,0
"Bacteria","Order","M1","Root","Festuca","Current","Rhizobiales",0.330151628166197,0.0310500255540585
"Bacteria","Order","M1","Root","Festuca","Current","Propionibacteriales",0.292714933643187,0.0104839722342469
"Bacteria","Order","M1","Root","Festuca","Current","Micrococcales",0.221370708871101,0.029183748387565
"Bacteria","Order","M1","Root","Festuca","Current","Burkholderiales",0.134474194483715,0.00613371031602786
"Bacteria","Order","M1","Root","Festuca","Current","Gaiellales",0.0126000448264626,0.002550250115124
"Bacteria","Order","M1","Root","Festuca","Current","Other",0.00868849000933811,0.000978904035020934
"Bacteria","Order","M1","Root","Festuca","Future","Rhizobiales",0.378261274176831,0.0112637512961137
"Bacteria","Order","M1","Root","Festuca","Future","Propionibacteriales",0.250488910743499,0.0306660567175504
"Bacteria","Order","M1","Root","Festuca","Future","Micrococcales",0.197585200859457,0.0138164356947098
"Bacteria","Order","M1","Root","Festuca","Future","Burkholderiales",0.143294005258486,0.0147430653673334
"Bacteria","Order","M1","Root","Festuca","Future","Gaiellales",0.0224234762717682,0.00220768766742382
"Bacteria","Order","M1","Root","Festuca","Future","Other",0.0079471326899594,0.0007573377772306
"Bacteria","Order","M1","Root","Lolium","Current","Rhizobiales",0.349579310734919,0.0731394481403415
"Bacteria","Order","M1","Root","Lolium","Current","Burkholderiales",0.223825999220155,0.0217930499095961
"Bacteria","Order","M1","Root","Lolium","Current","Micrococcales",0.220778855616253,0.0228749654595778
"Bacteria","Order","M1","Root","Lolium","Current","Propionibacteriales",0.187100049390301,0.0223783186798771
"Bacteria","Order","M1","Root","Lolium","Current","Gaiellales",0.0119813708283758,0.0050797973504521
"Bacteria","Order","M1","Root","Lolium","Current","Other",0.0067344142099968,0.000742851481796597
"Bacteria","Order","M1","Root","Lolium","Future","Rhizobiales",0.340788163249159,0.0160291181358383
"Bacteria","Order","M1","Root","Lolium","Future","Propionibacteriales",0.226499748859103,0.0461030892063892
"Bacteria","Order","M1","Root","Lolium","Future","Micrococcales",0.192520374774284,0.0436352700959936
"Bacteria","Order","M1","Root","Lolium","Future","Burkholderiales",0.168058969203436,0.00960556168295222
"Bacteria","Order","M1","Root","Lolium","Future","Gaiellales",0.0626140046933802,0.0301708756672593
"Bacteria","Order","M1","Root","Lolium","Future","Other",0.0095187392206378,0.00110218251725997
"Bacteria","Order","M1","Soil","Festuca","Current","Rhizobiales",0.231175496980485,0.0187979934206543
"Bacteria","Order","M1","Soil","Festuca","Current","Propionibacteriales",0.22005903518455,0.025839803839463
"Bacteria","Order","M1","Soil","Festuca","Current","Burkholderiales",0.210008187451522,0.0349190739219776
"Bacteria","Order","M1","Soil","Festuca","Current","Gaiellales",0.168841505110598,0.0252847602711146
"Bacteria","Order","M1","Soil","Festuca","Current","Micrococcales",0.161636917517409,0.0298500084367781
"Bacteria","Order","M1","Soil","Festuca","Current","Other",0.00827885775543579,0.000784329553213246
"Bacteria","Order","M1","Soil","Festuca","Future","Rhizobiales",0.281870199366442,0.0132488908356369
"Bacteria","Order","M1","Soil","Festuca","Future","Burkholderiales",0.208348064931747,0.0260016235029246
"Bacteria","Order","M1","Soil","Festuca","Future","Gaiellales",0.195739106624945,0.0275456386368391
"Bacteria","Order","M1","Soil","Festuca","Future","Propionibacteriales",0.158692695485261,0.0365108782165063
"Bacteria","Order","M1","Soil","Festuca","Future","Micrococcales",0.145767618181172,0.0215855810535963
"Bacteria","Order","M1","Soil","Festuca","Future","Other",0.00958231541043254,0.000894849366623031
"Bacteria","Order","M1","Soil","Lolium","Current","Micrococcales",0.214206153701674,0.0723544317707582
"Bacteria","Order","M1","Soil","Lolium","Current","Gaiellales",0.199665529339982,0.036160885237316
"Bacteria","Order","M1","Soil","Lolium","Current","Propionibacteriales",0.198000283245872,0.0429220708850586
"Bacteria","Order","M1","Soil","Lolium","Current","Rhizobiales",0.196883913677012,0.011352131040933
"Bacteria","Order","M1","Soil","Lolium","Current","Burkholderiales",0.18339337223837,0.031209896949679
"Bacteria","Order","M1","Soil","Lolium","Current","Other",0.00785074779708901,0.000747560055204978
"Bacteria","Order","M1","Soil","Lolium","Future","Propionibacteriales",0.221733345908549,0.0437036825887176
"Bacteria","Order","M1","Soil","Lolium","Future","Rhizobiales",0.211298739728789,0.0113929683688109
"Bacteria","Order","M1","Soil","Lolium","Future","Gaiellales",0.205953929712281,0.0260434328014641
"Bacteria","Order","M1","Soil","Lolium","Future","Micrococcales",0.197171380707931,0.0300789573059993
"Bacteria","Order","M1","Soil","Lolium","Future","Burkholderiales",0.155064133643264,0.020062852885813
"Bacteria","Order","M1","Soil","Lolium","Future","Other",0.008778470299186,0.000972242916074767
"Bacteria","Order","M2","Leaf","Festuca","Future","Micrococcales",0.579063598634362,0.396803948828452
"Bacteria","Order","M2","Leaf","Festuca","Future","Burkholderiales",0.36436056571605,0.36436056571605
"Bacteria","Order","M2","Leaf","Festuca","Future","Rhizobiales",0.0555266464443909,0.0555266464443908
"Bacteria","Order","M2","Leaf","Festuca","Future","Other",0.00104918920519687,0.000769027950326674
"Bacteria","Order","M2","Leaf","Festuca","Future","Gaiellales",0,0
"Bacteria","Order","M2","Leaf","Festuca","Future","Propionibacteriales",0,0
"Bacteria","Order","M2","Leaf","Lolium","Current","Micrococcales",0.982169839830765,0.982169839830765
"Bacteria","Order","M2","Leaf","Lolium","Current","Other",0.0178301601692354,0.00968856500778458
"Bacteria","Order","M2","Leaf","Lolium","Current","Burkholderiales",0,0
"Bacteria","Order","M2","Leaf","Lolium","Current","Gaiellales",0,0
"Bacteria","Order","M2","Leaf","Lolium","Current","Propionibacteriales",0,0
"Bacteria","Order","M2","Leaf","Lolium","Current","Rhizobiales",0,0
"Bacteria","Order","M2","Leaf","Lolium","Future","Propionibacteriales",0.960307298335468,0.960307298335468
"Bacteria","Order","M2","Leaf","Lolium","Future","Other",0.0396927016645325,0.0171245283752044
"Bacteria","Order","M2","Leaf","Lolium","Future","Burkholderiales",0,0
"Bacteria","Order","M2","Leaf","Lolium","Future","Gaiellales",0,0
"Bacteria","Order","M2","Leaf","Lolium","Future","Micrococcales",0,0
"Bacteria","Order","M2","Leaf","Lolium","Future","Rhizobiales",0,0
"Bacteria","Order","M2","Root","Festuca","Current","Rhizobiales",0.312895084465741,0.0191930086338559
"Bacteria","Order","M2","Root","Festuca","Current","Propionibacteriales",0.300852429076626,0.0288302179066688
"Bacteria","Order","M2","Root","Festuca","Current","Micrococcales",0.241998649713843,0.00870315064445208
"Bacteria","Order","M2","Root","Festuca","Current","Burkholderiales",0.120387726477991,0.0336417161973061
"Bacteria","Order","M2","Root","Festuca","Current","Gaiellales",0.0163545727725673,0.00206840176432261
"Bacteria","Order","M2","Root","Festuca","Current","Other",0.00751153749323221,0.000816502453226553
"Bacteria","Order","M2","Root","Festuca","Future","Rhizobiales",0.354558740566985,0.0217146630247968
"Bacteria","Order","M2","Root","Festuca","Future","Micrococcales",0.255165052620061,0.0198644902318755
"Bacteria","Order","M2","Root","Festuca","Future","Propionibacteriales",0.237485987842373,0.0354324258272994
"Bacteria","Order","M2","Root","Festuca","Future","Burkholderiales",0.13191266350922,0.00659947850518316
"Bacteria","Order","M2","Root","Festuca","Future","Gaiellales",0.013355009032192,0.00222177190859186
"Bacteria","Order","M2","Root","Festuca","Future","Other",0.00752254642916879,0.000707048052240215
"Bacteria","Order","M2","Root","Lolium","Current","Rhizobiales",0.356974067808365,0.0396874296255612
"Bacteria","Order","M2","Root","Lolium","Current","Burkholderiales",0.222607044449637,0.0296215114068066
"Bacteria","Order","M2","Root","Lolium","Current","Micrococcales",0.222582714788358,0.0458459705685432
"Bacteria","Order","M2","Root","Lolium","Current","Propionibacteriales",0.172267723133594,0.04064299697208
"Bacteria","Order","M2","Root","Lolium","Current","Gaiellales",0.017489083326366,0.0037345599355366
"Bacteria","Order","M2","Root","Lolium","Current","Other",0.00807936649367993,0.000882733329395121
"Bacteria","Order","M2","Root","Lolium","Future","Rhizobiales",0.315371264517001,0.0556671350607938
"Bacteria","Order","M2","Root","Lolium","Future","Micrococcales",0.276977313606146,0.0745022658997834
"Bacteria","Order","M2","Root","Lolium","Future","Propionibacteriales",0.205288435773497,0.0389704995782557
"Bacteria","Order","M2","Root","Lolium","Future","Burkholderiales",0.175992347684246,0.0236215166416525
"Bacteria","Order","M2","Root","Lolium","Future","Gaiellales",0.0187785444429936,0.00247955347140658
"Bacteria","Order","M2","Root","Lolium","Future","Other",0.00759209397611577,0.000793663560638232
"Bacteria","Order","M2","Soil","Festuca","Current","Propionibacteriales",0.249801633273073,0.0619261192389838
"Bacteria","Order","M2","Soil","Festuca","Current","Rhizobiales",0.222897996394006,0.0177360586807599
"Bacteria","Order","M2","Soil","Festuca","Current","Burkholderiales",0.193837940856985,0.0296942388415075
"Bacteria","Order","M2","Soil","Festuca","Current","Micrococcales",0.176435022501905,0.0325564434321062
"Bacteria","Order","M2","Soil","Festuca","Current","Gaiellales",0.149058649837847,0.0177105954967693
"Bacteria","Order","M2","Soil","Festuca","Current","Other",0.00796875713618434,0.000761936692121264
"Bacteria","Order","M2","Soil","Festuca","Future","Rhizobiales",0.266015682558002,0.00985523317568885
"Bacteria","Order","M2","Soil","Festuca","Future","Gaiellales",0.197162919964036,0.0276890692644984
"Bacteria","Order","M2","Soil","Festuca","Future","Burkholderiales",0.196809208298603,0.0138495077927484
"Bacteria","Order","M2","Soil","Festuca","Future","Propionibacteriales",0.167753721622253,0.0132377035529517
"Bacteria","Order","M2","Soil","Festuca","Future","Micrococcales",0.161882709409592,0.0258194951177334
"Bacteria","Order","M2","Soil","Festuca","Future","Other",0.0103757581475135,0.000919112931096086
"Bacteria","Order","M2","Soil","Lolium","Current","Gaiellales",0.22988012542469,0.00420322432282518
"Bacteria","Order","M2","Soil","Lolium","Current","Rhizobiales",0.22984096674202,0.0209513231281902
"Bacteria","Order","M2","Soil","Lolium","Current","Burkholderiales",0.184572171900149,0.0136922962451774
"Bacteria","Order","M2","Soil","Lolium","Current","Micrococcales",0.177399221672734,0.0440814616653409
"Bacteria","Order","M2","Soil","Lolium","Current","Propionibacteriales",0.169612019216451,0.037412553970702
"Bacteria","Order","M2","Soil","Lolium","Current","Other",0.00869549504395566,0.000767299428863964
"Bacteria","Order","M2","Soil","Lolium","Future","Micrococcales",0.258303987155074,0.0423597053794443
"Bacteria","Order","M2","Soil","Lolium","Future","Propionibacteriales",0.209388472381354,0.0188246027810169
