ASVid,Group_type,Group,Domain,Stat,phylum,class,order,family,genus,species,TrophicMode
89111bc3d50bdafd4d3eb6a12b62c778,Plant species,Festuca,Bacteria,0.286525126,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,Unassigned,
d2a861a64923ee09269a003f402947dc,Plant species,Festuca,Bacteria,0.446095345,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,Unassigned,
ec0a1491c1b432891e96dec7bec3cfa6,Plant species,Festuca,Bacteria,0.255376959,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned,Unassigned,
4390f45967fe7b224d3a27a2944fc86e,Plant species,Festuca,Bacteria,0.293346942,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unassigned,
a5f104433c3d3aff29052dfd42ebdf05,Plant species,Festuca,Bacteria,0.456196327,Chloroflexi,Anaerolineae,RBG-13-54-9,RBG-13-54-9,RBG-13-54-9,uncultured_sludge,
758d9ad98082b115a2b04cbbcccf7736,Plant species,Lolium,Bacteria,0.590105994,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,Unassigned,
4054f67f98489eee59ccfd97ae703850,Plant species,Festuca,Bacteria,0.300052862,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,Unassigned,
b0dc39a9de45219ba75963c38c69316c,Plant species,Festuca,Bacteria,0.29730005,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_bacterium,
39ee4af3687c35219704a0b2f99350e6,Plant species,Festuca,Bacteria,0.371430633,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes_sp.,
44e6aa896880a734ad3f04ede3040f88,Plant species,Festuca,Bacteria,0.443528594,Chloroflexi,Anaerolineae,SBR1031,SBR1031,SBR1031,Unassigned,
4ea7c13f2381ed3a54beae9dcc63eb87,Plant species,Festuca,Bacteria,0.366289182,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,metagenome,
e1534217c23c7fa9562db7f11b50525b,Plant species,Festuca,Bacteria,0.368096295,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Unassigned,
45803e87d5ff7bcb7fb16106ea9045d2,Plant species,Festuca,Bacteria,0.401494007,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,Unassigned,
f78ef420830146ca6d2093f0483f0ba3,Plant species,Lolium,Bacteria,0.445073372,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Unassigned,
d7b94d85f6042e2e87cb6057ffe04017,Plant species,Festuca,Bacteria,0.390664617,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured,Unassigned,
bee6b942d166bb182d3193c1276f8402,Plant species,Festuca,Bacteria,0.414012635,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,
948505932e3644cb923b28a21206908b,Plant species,Festuca,Bacteria,0.440024538,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,uncultured_Luteolibacter,
